dataset,encoder,decoder,modelo,n,min,max,mean,std,median
iris,ss,fs,IZ-A,11,0.82,0.94,0.8763636363636365,0.03801913393877544,0.88
iris,ss,fs,IZ-B,11,0.73,0.95,0.8927272727272726,0.07212363123011889,0.92
iris,ss,fs,IZ-C,11,0.86,0.94,0.9027272727272727,0.026491851234260344,0.9
iris,ss,fs,IZ-D,11,0.85,0.95,0.9154545454545455,0.03882361043582534,0.93
iris,ss,fs,IZ-E,11,0.79,0.92,0.8900000000000001,0.0363318042491699,0.9
iris,ss,fs,IZ-F,11,0.83,0.94,0.9,0.0384707681233427,0.92
iris,ss,fs,IZ-G,11,0.74,0.95,0.8572727272727273,0.07226214902573949,0.87
iris,ss,fs,IZ-H,11,0.79,0.92,0.87,0.04123105625617662,0.87
iris,ss,v,IZ-A,11,0.8,0.93,0.8890909090909092,0.043001057069459475,0.91
iris,ss,v,IZ-B,11,0.83,0.93,0.8890909090909092,0.033898243451407795,0.9
iris,ss,v,IZ-C,11,0.92,0.95,0.9336363636363635,0.008090398349558863,0.93
iris,ss,v,IZ-D,11,0.81,0.93,0.9009090909090909,0.033601947995479504,0.91
iris,ss,v,IZ-E,11,0.81,0.94,0.8854545454545455,0.03908033683673578,0.9
iris,ss,v,IZ-F,11,0.85,0.92,0.8872727272727272,0.023276988246295587,0.89
iris,ss,v,IZ-G,11,0.86,0.93,0.9054545454545455,0.026967994498529706,0.92
iris,ss,v,IZ-H,11,0.86,0.95,0.9081818181818182,0.026764970322487487,0.91
iris,t,fs,IZ-A,11,0.92,0.95,0.9363636363636363,0.01026910636104937,0.94
iris,t,fs,IZ-B,11,0.88,0.95,0.9345454545454545,0.019679246105293934,0.94
iris,t,fs,IZ-C,11,0.92,0.95,0.9372727272727271,0.009045340337332869,0.94
iris,t,fs,IZ-D,11,0.91,0.96,0.9272727272727272,0.014893561757288993,0.93
iris,t,fs,IZ-E,11,0.91,0.97,0.9363636363636363,0.01689540012709212,0.94
iris,t,fs,IZ-F,11,0.93,0.95,0.9409090909090907,0.007006490497453678,0.94
iris,t,fs,IZ-G,11,0.9,0.94,0.9254545454545454,0.011281521496355305,0.93
iris,t,fs,IZ-H,11,0.88,0.96,0.9245454545454546,0.025831622621754247,0.94
iris,t,v,IZ-A,11,0.86,0.92,0.9000000000000002,0.02097617696340305,0.9
iris,t,v,IZ-B,11,0.89,0.95,0.9163636363636364,0.017477257950106052,0.92
iris,t,v,IZ-C,11,0.85,0.97,0.9327272727272727,0.036356817542493744,0.95
iris,t,v,IZ-D,11,0.91,0.96,0.9372727272727274,0.017372915179041788,0.94
iris,t,v,IZ-E,11,0.85,0.95,0.9227272727272726,0.02760105399832009,0.93
iris,t,v,IZ-F,11,0.82,0.9,0.860909090909091,0.0323896728771828,0.86
iris,t,v,IZ-G,11,0.85,0.94,0.9118181818181817,0.028219915598095537,0.92
iris,t,v,IZ-H,11,0.89,0.95,0.929090909090909,0.018683974659876524,0.93
wine,ss,fs,IZ-A,11,0.71,0.79,0.7563636363636363,0.028025961989814854,0.76
wine,ss,fs,IZ-B,11,0.68,0.81,0.7663636363636364,0.043421821074829954,0.78
wine,ss,fs,IZ-C,11,0.64,0.83,0.7527272727272727,0.05349596416383372,0.76
wine,ss,fs,IZ-D,11,0.7,0.82,0.7381818181818182,0.03516196291966131,0.73
wine,ss,fs,IZ-E,11,0.69,0.86,0.7745454545454545,0.05520210799664021,0.76
wine,ss,fs,IZ-F,11,0.64,0.84,0.7527272727272728,0.07044017448742004,0.78
wine,ss,fs,IZ-G,11,0.63,0.81,0.7454545454545454,0.061214971430792395,0.75
wine,ss,fs,IZ-H,11,0.62,0.83,0.7427272727272727,0.06972673936029262,0.78
wine,ss,v,IZ-A,11,0.64,0.83,0.7645454545454545,0.06154082163306506,0.79
wine,ss,v,IZ-B,11,0.68,0.83,0.759090909090909,0.04229764661409555,0.77
wine,ss,v,IZ-C,11,0.68,0.84,0.7627272727272726,0.04797726734421399,0.77
wine,ss,v,IZ-D,11,0.7,0.83,0.7727272727272727,0.04451761653343746,0.77
wine,ss,v,IZ-E,11,0.6,0.78,0.7145454545454545,0.060887377405113526,0.72
wine,ss,v,IZ-F,11,0.66,0.79,0.7354545454545455,0.04058660773300384,0.75
wine,ss,v,IZ-G,11,0.68,0.84,0.7490909090909091,0.05166324524350853,0.73
wine,ss,v,IZ-H,11,0.73,0.84,0.7745454545454543,0.03531674853766592,0.76
wine,t,fs,IZ-A,11,0.61,0.77,0.7027272727272726,0.04244782894116238,0.7
wine,t,fs,IZ-B,11,0.67,0.78,0.7200000000000001,0.039999999999999994,0.72
wine,t,fs,IZ-C,11,0.63,0.81,0.7045454545454544,0.058542913552988865,0.71
wine,t,fs,IZ-D,11,0.61,0.77,0.7109090909090908,0.04482288376589473,0.72
wine,t,fs,IZ-E,11,0.63,0.74,0.69,0.03847076812334267,0.69
wine,t,fs,IZ-F,11,0.62,0.73,0.6900000000000001,0.03376388603226825,0.69
wine,t,fs,IZ-G,11,0.6,0.76,0.6799999999999999,0.05039841267341661,0.68
wine,t,fs,IZ-H,11,0.65,0.77,0.7036363636363636,0.03233348953414316,0.7
wine,t,v,IZ-A,11,0.66,0.84,0.7509090909090907,0.05243177385031817,0.75
wine,t,v,IZ-B,11,0.66,0.81,0.730909090909091,0.055938277673619065,0.73
wine,t,v,IZ-C,11,0.72,0.85,0.7854545454545455,0.03958879547640629,0.78
wine,t,v,IZ-D,11,0.68,0.83,0.7599999999999999,0.04494441010848845,0.76
wine,t,v,IZ-E,11,0.72,0.89,0.8054545454545454,0.05335984189699898,0.81
wine,t,v,IZ-F,11,0.72,0.84,0.7745454545454545,0.034456824103110954,0.77
wine,t,v,IZ-G,11,0.64,0.86,0.7627272727272728,0.06018154353137,0.76
wine,t,v,IZ-H,11,0.77,0.86,0.8118181818181818,0.03060005941764877,0.81
bc,ss,fs,IZ-A,11,0.86,0.95,0.8936363636363638,0.02460598596794173,0.89
bc,ss,fs,IZ-B,11,0.84,0.91,0.8845454545454546,0.021148823307047798,0.89
bc,ss,fs,IZ-C,11,0.86,0.92,0.8990909090909092,0.02165850662190055,0.9
bc,ss,fs,IZ-D,11,0.86,0.93,0.8918181818181817,0.023159525823376378,0.89
bc,ss,fs,IZ-E,11,0.87,0.92,0.8909090909090908,0.013003496033409992,0.89
bc,ss,fs,IZ-F,11,0.88,0.93,0.8954545454545456,0.015724907862137944,0.89
bc,ss,fs,IZ-G,11,0.85,0.92,0.8881818181818182,0.025226248955475674,0.88
bc,ss,fs,IZ-H,11,0.85,0.93,0.8863636363636364,0.02335496832484571,0.88
bc,ss,v,IZ-A,11,0.86,0.94,0.8936363636363637,0.02500908925679913,0.89
bc,ss,v,IZ-B,11,0.86,0.93,0.9027272727272727,0.022843339988236896,0.91
bc,ss,v,IZ-C,11,0.87,0.93,0.9018181818181819,0.021362669223756594,0.91
bc,ss,v,IZ-D,11,0.86,0.92,0.8900000000000001,0.018439088914585792,0.89
bc,ss,v,IZ-E,11,0.88,0.92,0.8945454545454545,0.013684762594679076,0.89
bc,ss,v,IZ-F,11,0.86,0.92,0.8927272727272727,0.018488325554743525,0.89
bc,ss,v,IZ-G,11,0.89,0.93,0.9081818181818182,0.012504544628399573,0.91
bc,ss,v,IZ-H,11,0.85,0.95,0.9027272727272728,0.02649185123426034,0.9
bc,t,fs,IZ-A,11,0.83,0.9,0.8609090909090908,0.021191765124474883,0.86
bc,t,fs,IZ-B,11,0.83,0.88,0.8509090909090908,0.014459976109624436,0.85
bc,t,fs,IZ-C,11,0.84,0.88,0.8581818181818182,0.012504544628399573,0.86
bc,t,fs,IZ-D,11,0.83,0.89,0.8472727272727273,0.016180796699117823,0.84
bc,t,fs,IZ-E,11,0.84,0.88,0.8600000000000001,0.016733200530681527,0.86
bc,t,fs,IZ-F,11,0.83,0.88,0.8572727272727273,0.016787441193290367,0.86
bc,t,fs,IZ-G,11,0.83,0.91,0.859090909090909,0.021191765124474883,0.86
bc,t,fs,IZ-H,11,0.84,0.9,0.8618181818181818,0.018877596148970794,0.86
bc,t,v,IZ-A,11,0.86,0.93,0.8972727272727273,0.02240129866365302,0.9
bc,t,v,IZ-B,11,0.88,0.92,0.8963636363636365,0.012862913567872006,0.89
bc,t,v,IZ-C,11,0.87,0.94,0.9109090909090909,0.02427119504867672,0.92
bc,t,v,IZ-D,11,0.87,0.93,0.9081818181818182,0.018877596148970794,0.91
bc,t,v,IZ-E,11,0.89,0.94,0.9127272727272728,0.015550504230351555,0.91
bc,t,v,IZ-F,11,0.85,0.93,0.8854545454545453,0.022962419891482,0.89
bc,t,v,IZ-G,11,0.84,0.93,0.8954545454545456,0.02769968821616461,0.9
bc,t,v,IZ-H,11,0.89,0.93,0.9081818181818183,0.012504544628399573,0.9
