dataset,encoder,decoder,model,run,fitness
bc,ss,fs,IZ-A,0,0.95
bc,ss,fs,IZ-A,1,0.86
bc,ss,fs,IZ-A,2,0.88
bc,ss,fs,IZ-A,3,0.88
bc,ss,fs,IZ-A,4,0.9
bc,ss,fs,IZ-A,5,0.9
bc,ss,fs,IZ-A,6,0.92
bc,ss,fs,IZ-A,7,0.87
bc,ss,fs,IZ-A,8,0.89
bc,ss,fs,IZ-A,9,0.89
bc,ss,fs,IZ-A,10,0.89
bc,ss,fs,IZ-B,0,0.91
bc,ss,fs,IZ-B,1,0.89
bc,ss,fs,IZ-B,2,0.9
bc,ss,fs,IZ-B,3,0.9
bc,ss,fs,IZ-B,4,0.88
bc,ss,fs,IZ-B,5,0.84
bc,ss,fs,IZ-B,6,0.91
bc,ss,fs,IZ-B,7,0.87
bc,ss,fs,IZ-B,8,0.87
bc,ss,fs,IZ-B,9,0.89
bc,ss,fs,IZ-B,10,0.87
bc,ss,fs,IZ-C,0,0.92
bc,ss,fs,IZ-C,1,0.86
bc,ss,fs,IZ-C,2,0.86
bc,ss,fs,IZ-C,3,0.92
bc,ss,fs,IZ-C,4,0.89
bc,ss,fs,IZ-C,5,0.92
bc,ss,fs,IZ-C,6,0.9
bc,ss,fs,IZ-C,7,0.9
bc,ss,fs,IZ-C,8,0.9
bc,ss,fs,IZ-C,9,0.91
bc,ss,fs,IZ-C,10,0.91
bc,ss,fs,IZ-D,0,0.86
bc,ss,fs,IZ-D,1,0.89
bc,ss,fs,IZ-D,2,0.87
bc,ss,fs,IZ-D,3,0.89
bc,ss,fs,IZ-D,4,0.91
bc,ss,fs,IZ-D,5,0.87
bc,ss,fs,IZ-D,6,0.92
bc,ss,fs,IZ-D,7,0.91
bc,ss,fs,IZ-D,8,0.89
bc,ss,fs,IZ-D,9,0.87
bc,ss,fs,IZ-D,10,0.93
bc,ss,fs,IZ-E,0,0.92
bc,ss,fs,IZ-E,1,0.89
bc,ss,fs,IZ-E,2,0.89
bc,ss,fs,IZ-E,3,0.9
bc,ss,fs,IZ-E,4,0.9
bc,ss,fs,IZ-E,5,0.89
bc,ss,fs,IZ-E,6,0.88
bc,ss,fs,IZ-E,7,0.89
bc,ss,fs,IZ-E,8,0.89
bc,ss,fs,IZ-E,9,0.87
bc,ss,fs,IZ-E,10,0.88
bc,ss,fs,IZ-F,0,0.89
bc,ss,fs,IZ-F,1,0.89
bc,ss,fs,IZ-F,2,0.9
bc,ss,fs,IZ-F,3,0.88
bc,ss,fs,IZ-F,4,0.89
bc,ss,fs,IZ-F,5,0.91
bc,ss,fs,IZ-F,6,0.93
bc,ss,fs,IZ-F,7,0.88
bc,ss,fs,IZ-F,8,0.88
bc,ss,fs,IZ-F,9,0.89
bc,ss,fs,IZ-F,10,0.91
bc,ss,fs,IZ-G,0,0.86
bc,ss,fs,IZ-G,1,0.85
bc,ss,fs,IZ-G,2,0.86
bc,ss,fs,IZ-G,3,0.92
bc,ss,fs,IZ-G,4,0.88
bc,ss,fs,IZ-G,5,0.91
bc,ss,fs,IZ-G,6,0.88
bc,ss,fs,IZ-G,7,0.92
bc,ss,fs,IZ-G,8,0.88
bc,ss,fs,IZ-G,9,0.9
bc,ss,fs,IZ-G,10,0.91
bc,ss,fs,IZ-H,0,0.91
bc,ss,fs,IZ-H,1,0.89
bc,ss,fs,IZ-H,2,0.87
bc,ss,fs,IZ-H,3,0.88
bc,ss,fs,IZ-H,4,0.88
bc,ss,fs,IZ-H,5,0.86
bc,ss,fs,IZ-H,6,0.88
bc,ss,fs,IZ-H,7,0.93
bc,ss,fs,IZ-H,8,0.91
bc,ss,fs,IZ-H,9,0.85
bc,ss,fs,IZ-H,10,0.89
bc,ss,v,IZ-A,0,0.91
bc,ss,v,IZ-A,1,0.88
bc,ss,v,IZ-A,2,0.87
bc,ss,v,IZ-A,3,0.86
bc,ss,v,IZ-A,4,0.91
bc,ss,v,IZ-A,5,0.91
bc,ss,v,IZ-A,6,0.89
bc,ss,v,IZ-A,7,0.91
bc,ss,v,IZ-A,8,0.86
bc,ss,v,IZ-A,9,0.94
bc,ss,v,IZ-A,10,0.89
bc,ss,v,IZ-B,0,0.92
bc,ss,v,IZ-B,1,0.91
bc,ss,v,IZ-B,2,0.93
bc,ss,v,IZ-B,3,0.91
bc,ss,v,IZ-B,4,0.91
bc,ss,v,IZ-B,5,0.87
bc,ss,v,IZ-B,6,0.89
bc,ss,v,IZ-B,7,0.89
bc,ss,v,IZ-B,8,0.93
bc,ss,v,IZ-B,9,0.91
bc,ss,v,IZ-B,10,0.86
bc,ss,v,IZ-C,0,0.91
bc,ss,v,IZ-C,1,0.89
bc,ss,v,IZ-C,2,0.87
bc,ss,v,IZ-C,3,0.92
bc,ss,v,IZ-C,4,0.91
bc,ss,v,IZ-C,5,0.91
bc,ss,v,IZ-C,6,0.87
bc,ss,v,IZ-C,7,0.93
bc,ss,v,IZ-C,8,0.89
bc,ss,v,IZ-C,9,0.89
bc,ss,v,IZ-C,10,0.93
bc,ss,v,IZ-D,0,0.88
bc,ss,v,IZ-D,1,0.89
bc,ss,v,IZ-D,2,0.9
bc,ss,v,IZ-D,3,0.9
bc,ss,v,IZ-D,4,0.92
bc,ss,v,IZ-D,5,0.89
bc,ss,v,IZ-D,6,0.89
bc,ss,v,IZ-D,7,0.86
bc,ss,v,IZ-D,8,0.86
bc,ss,v,IZ-D,9,0.89
bc,ss,v,IZ-D,10,0.91
bc,ss,v,IZ-E,0,0.91
bc,ss,v,IZ-E,1,0.88
bc,ss,v,IZ-E,2,0.89
bc,ss,v,IZ-E,3,0.9
bc,ss,v,IZ-E,4,0.89
bc,ss,v,IZ-E,5,0.89
bc,ss,v,IZ-E,6,0.92
bc,ss,v,IZ-E,7,0.89
bc,ss,v,IZ-E,8,0.88
bc,ss,v,IZ-E,9,0.88
bc,ss,v,IZ-E,10,0.91
bc,ss,v,IZ-F,0,0.89
bc,ss,v,IZ-F,1,0.9
bc,ss,v,IZ-F,2,0.92
bc,ss,v,IZ-F,3,0.9
bc,ss,v,IZ-F,4,0.9
bc,ss,v,IZ-F,5,0.88
bc,ss,v,IZ-F,6,0.89
bc,ss,v,IZ-F,7,0.86
bc,ss,v,IZ-F,8,0.87
bc,ss,v,IZ-F,9,0.92
bc,ss,v,IZ-F,10,0.89
bc,ss,v,IZ-G,0,0.92
bc,ss,v,IZ-G,1,0.89
bc,ss,v,IZ-G,2,0.91
bc,ss,v,IZ-G,3,0.89
bc,ss,v,IZ-G,4,0.91
bc,ss,v,IZ-G,5,0.92
bc,ss,v,IZ-G,6,0.9
bc,ss,v,IZ-G,7,0.9
bc,ss,v,IZ-G,8,0.91
bc,ss,v,IZ-G,9,0.93
bc,ss,v,IZ-G,10,0.91
bc,ss,v,IZ-H,0,0.91
bc,ss,v,IZ-H,1,0.85
bc,ss,v,IZ-H,2,0.89
bc,ss,v,IZ-H,3,0.91
bc,ss,v,IZ-H,4,0.94
bc,ss,v,IZ-H,5,0.95
bc,ss,v,IZ-H,6,0.89
bc,ss,v,IZ-H,7,0.9
bc,ss,v,IZ-H,8,0.9
bc,ss,v,IZ-H,9,0.89
bc,ss,v,IZ-H,10,0.9
bc,t,fs,IZ-A,0,0.83
bc,t,fs,IZ-A,1,0.85
bc,t,fs,IZ-A,2,0.84
bc,t,fs,IZ-A,3,0.88
bc,t,fs,IZ-A,4,0.87
bc,t,fs,IZ-A,5,0.86
bc,t,fs,IZ-A,6,0.84
bc,t,fs,IZ-A,7,0.85
bc,t,fs,IZ-A,8,0.88
bc,t,fs,IZ-A,9,0.87
bc,t,fs,IZ-A,10,0.9
bc,t,fs,IZ-B,0,0.88
bc,t,fs,IZ-B,1,0.84
bc,t,fs,IZ-B,2,0.87
bc,t,fs,IZ-B,3,0.83
bc,t,fs,IZ-B,4,0.85
bc,t,fs,IZ-B,5,0.85
bc,t,fs,IZ-B,6,0.84
bc,t,fs,IZ-B,7,0.85
bc,t,fs,IZ-B,8,0.86
bc,t,fs,IZ-B,9,0.85
bc,t,fs,IZ-B,10,0.84
bc,t,fs,IZ-C,0,0.86
bc,t,fs,IZ-C,1,0.86
bc,t,fs,IZ-C,2,0.86
bc,t,fs,IZ-C,3,0.87
bc,t,fs,IZ-C,4,0.84
bc,t,fs,IZ-C,5,0.86
bc,t,fs,IZ-C,6,0.88
bc,t,fs,IZ-C,7,0.85
bc,t,fs,IZ-C,8,0.85
bc,t,fs,IZ-C,9,0.84
bc,t,fs,IZ-C,10,0.87
bc,t,fs,IZ-D,0,0.84
bc,t,fs,IZ-D,1,0.85
bc,t,fs,IZ-D,2,0.84
bc,t,fs,IZ-D,3,0.84
bc,t,fs,IZ-D,4,0.85
bc,t,fs,IZ-D,5,0.83
bc,t,fs,IZ-D,6,0.84
bc,t,fs,IZ-D,7,0.84
bc,t,fs,IZ-D,8,0.84
bc,t,fs,IZ-D,9,0.86
bc,t,fs,IZ-D,10,0.89
bc,t,fs,IZ-E,0,0.84
bc,t,fs,IZ-E,1,0.87
bc,t,fs,IZ-E,2,0.85
bc,t,fs,IZ-E,3,0.85
bc,t,fs,IZ-E,4,0.84
bc,t,fs,IZ-E,5,0.84
bc,t,fs,IZ-E,6,0.88
bc,t,fs,IZ-E,7,0.86
bc,t,fs,IZ-E,8,0.88
bc,t,fs,IZ-E,9,0.87
bc,t,fs,IZ-E,10,0.88
bc,t,fs,IZ-F,0,0.83
bc,t,fs,IZ-F,1,0.85
bc,t,fs,IZ-F,2,0.86
bc,t,fs,IZ-F,3,0.86
bc,t,fs,IZ-F,4,0.87
bc,t,fs,IZ-F,5,0.84
bc,t,fs,IZ-F,6,0.88
bc,t,fs,IZ-F,7,0.88
bc,t,fs,IZ-F,8,0.87
bc,t,fs,IZ-F,9,0.85
bc,t,fs,IZ-F,10,0.84
bc,t,fs,IZ-G,0,0.86
bc,t,fs,IZ-G,1,0.91
bc,t,fs,IZ-G,2,0.86
bc,t,fs,IZ-G,3,0.88
bc,t,fs,IZ-G,4,0.85
bc,t,fs,IZ-G,5,0.85
bc,t,fs,IZ-G,6,0.84
bc,t,fs,IZ-G,7,0.83
bc,t,fs,IZ-G,8,0.86
bc,t,fs,IZ-G,9,0.85
bc,t,fs,IZ-G,10,0.86
bc,t,fs,IZ-H,0,0.87
bc,t,fs,IZ-H,1,0.84
bc,t,fs,IZ-H,2,0.85
bc,t,fs,IZ-H,3,0.9
bc,t,fs,IZ-H,4,0.85
bc,t,fs,IZ-H,5,0.88
bc,t,fs,IZ-H,6,0.86
bc,t,fs,IZ-H,7,0.86
bc,t,fs,IZ-H,8,0.84
bc,t,fs,IZ-H,9,0.85
bc,t,fs,IZ-H,10,0.88
bc,t,v,IZ-A,0,0.91
bc,t,v,IZ-A,1,0.89
bc,t,v,IZ-A,2,0.92
bc,t,v,IZ-A,3,0.86
bc,t,v,IZ-A,4,0.91
bc,t,v,IZ-A,5,0.93
bc,t,v,IZ-A,6,0.89
bc,t,v,IZ-A,7,0.9
bc,t,v,IZ-A,8,0.86
bc,t,v,IZ-A,9,0.91
bc,t,v,IZ-A,10,0.89
bc,t,v,IZ-B,0,0.89
bc,t,v,IZ-B,1,0.89
bc,t,v,IZ-B,2,0.91
bc,t,v,IZ-B,3,0.91
bc,t,v,IZ-B,4,0.9
bc,t,v,IZ-B,5,0.9
bc,t,v,IZ-B,6,0.88
bc,t,v,IZ-B,7,0.92
bc,t,v,IZ-B,8,0.89
bc,t,v,IZ-B,9,0.89
bc,t,v,IZ-B,10,0.88
bc,t,v,IZ-C,0,0.93
bc,t,v,IZ-C,1,0.92
bc,t,v,IZ-C,2,0.91
bc,t,v,IZ-C,3,0.87
bc,t,v,IZ-C,4,0.91
bc,t,v,IZ-C,5,0.87
bc,t,v,IZ-C,6,0.93
bc,t,v,IZ-C,7,0.92
bc,t,v,IZ-C,8,0.93
bc,t,v,IZ-C,9,0.94
bc,t,v,IZ-C,10,0.89
bc,t,v,IZ-D,0,0.88
bc,t,v,IZ-D,1,0.91
bc,t,v,IZ-D,2,0.91
bc,t,v,IZ-D,3,0.87
bc,t,v,IZ-D,4,0.91
bc,t,v,IZ-D,5,0.92
bc,t,v,IZ-D,6,0.92
bc,t,v,IZ-D,7,0.93
bc,t,v,IZ-D,8,0.91
bc,t,v,IZ-D,9,0.9
bc,t,v,IZ-D,10,0.93
bc,t,v,IZ-E,0,0.93
bc,t,v,IZ-E,1,0.93
bc,t,v,IZ-E,2,0.9
bc,t,v,IZ-E,3,0.94
bc,t,v,IZ-E,4,0.92
bc,t,v,IZ-E,5,0.91
bc,t,v,IZ-E,6,0.91
bc,t,v,IZ-E,7,0.91
bc,t,v,IZ-E,8,0.9
bc,t,v,IZ-E,9,0.9
bc,t,v,IZ-E,10,0.89
bc,t,v,IZ-F,0,0.9
bc,t,v,IZ-F,1,0.85
bc,t,v,IZ-F,2,0.86
bc,t,v,IZ-F,3,0.91
bc,t,v,IZ-F,4,0.88
bc,t,v,IZ-F,5,0.89
bc,t,v,IZ-F,6,0.87
bc,t,v,IZ-F,7,0.93
bc,t,v,IZ-F,8,0.89
bc,t,v,IZ-F,9,0.89
bc,t,v,IZ-F,10,0.87
bc,t,v,IZ-G,0,0.86
bc,t,v,IZ-G,1,0.89
bc,t,v,IZ-G,2,0.93
bc,t,v,IZ-G,3,0.92
bc,t,v,IZ-G,4,0.89
bc,t,v,IZ-G,5,0.9
bc,t,v,IZ-G,6,0.9
bc,t,v,IZ-G,7,0.92
bc,t,v,IZ-G,8,0.88
bc,t,v,IZ-G,9,0.84
bc,t,v,IZ-G,10,0.92
bc,t,v,IZ-H,0,0.9
bc,t,v,IZ-H,1,0.92
bc,t,v,IZ-H,2,0.9
bc,t,v,IZ-H,3,0.9
bc,t,v,IZ-H,4,0.91
bc,t,v,IZ-H,5,0.9
bc,t,v,IZ-H,6,0.93
bc,t,v,IZ-H,7,0.9
bc,t,v,IZ-H,8,0.92
bc,t,v,IZ-H,9,0.89
bc,t,v,IZ-H,10,0.92
iris,ss,fs,IZ-A,0,0.85
iris,ss,fs,IZ-A,1,0.82
iris,ss,fs,IZ-A,2,0.86
iris,ss,fs,IZ-A,3,0.94
iris,ss,fs,IZ-A,4,0.87
iris,ss,fs,IZ-A,5,0.88
iris,ss,fs,IZ-A,6,0.9
iris,ss,fs,IZ-A,7,0.82
iris,ss,fs,IZ-A,8,0.88
iris,ss,fs,IZ-A,9,0.9
iris,ss,fs,IZ-A,10,0.92
iris,ss,fs,IZ-B,0,0.95
iris,ss,fs,IZ-B,1,0.83
iris,ss,fs,IZ-B,2,0.94
iris,ss,fs,IZ-B,3,0.73
iris,ss,fs,IZ-B,4,0.92
iris,ss,fs,IZ-B,5,0.92
iris,ss,fs,IZ-B,6,0.89
iris,ss,fs,IZ-B,7,0.95
iris,ss,fs,IZ-B,8,0.81
iris,ss,fs,IZ-B,9,0.94
iris,ss,fs,IZ-B,10,0.94
iris,ss,fs,IZ-C,0,0.89
iris,ss,fs,IZ-C,1,0.9
iris,ss,fs,IZ-C,2,0.89
iris,ss,fs,IZ-C,3,0.88
iris,ss,fs,IZ-C,4,0.93
iris,ss,fs,IZ-C,5,0.88
iris,ss,fs,IZ-C,6,0.94
iris,ss,fs,IZ-C,7,0.94
iris,ss,fs,IZ-C,8,0.9
iris,ss,fs,IZ-C,9,0.86
iris,ss,fs,IZ-C,10,0.92
iris,ss,fs,IZ-D,0,0.94
iris,ss,fs,IZ-D,1,0.9
iris,ss,fs,IZ-D,2,0.95
iris,ss,fs,IZ-D,3,0.95
iris,ss,fs,IZ-D,4,0.95
iris,ss,fs,IZ-D,5,0.91
iris,ss,fs,IZ-D,6,0.85
iris,ss,fs,IZ-D,7,0.93
iris,ss,fs,IZ-D,8,0.95
iris,ss,fs,IZ-D,9,0.89
iris,ss,fs,IZ-D,10,0.85
iris,ss,fs,IZ-E,0,0.9
iris,ss,fs,IZ-E,1,0.89
iris,ss,fs,IZ-E,2,0.91
iris,ss,fs,IZ-E,3,0.91
iris,ss,fs,IZ-E,4,0.9
iris,ss,fs,IZ-E,5,0.92
iris,ss,fs,IZ-E,6,0.79
iris,ss,fs,IZ-E,7,0.91
iris,ss,fs,IZ-E,8,0.91
iris,ss,fs,IZ-E,9,0.88
iris,ss,fs,IZ-E,10,0.87
iris,ss,fs,IZ-F,0,0.9
iris,ss,fs,IZ-F,1,0.87
iris,ss,fs,IZ-F,2,0.93
iris,ss,fs,IZ-F,3,0.92
iris,ss,fs,IZ-F,4,0.94
iris,ss,fs,IZ-F,5,0.86
iris,ss,fs,IZ-F,6,0.83
iris,ss,fs,IZ-F,7,0.86
iris,ss,fs,IZ-F,8,0.92
iris,ss,fs,IZ-F,9,0.94
iris,ss,fs,IZ-F,10,0.93
iris,ss,fs,IZ-G,0,0.87
iris,ss,fs,IZ-G,1,0.91
iris,ss,fs,IZ-G,2,0.87
iris,ss,fs,IZ-G,3,0.77
iris,ss,fs,IZ-G,4,0.93
iris,ss,fs,IZ-G,5,0.95
iris,ss,fs,IZ-G,6,0.87
iris,ss,fs,IZ-G,7,0.74
iris,ss,fs,IZ-G,8,0.76
iris,ss,fs,IZ-G,9,0.92
iris,ss,fs,IZ-G,10,0.84
iris,ss,fs,IZ-H,0,0.87
iris,ss,fs,IZ-H,1,0.86
iris,ss,fs,IZ-H,2,0.9
iris,ss,fs,IZ-H,3,0.91
iris,ss,fs,IZ-H,4,0.92
iris,ss,fs,IZ-H,5,0.84
iris,ss,fs,IZ-H,6,0.82
iris,ss,fs,IZ-H,7,0.79
iris,ss,fs,IZ-H,8,0.86
iris,ss,fs,IZ-H,9,0.89
iris,ss,fs,IZ-H,10,0.91
iris,ss,v,IZ-A,0,0.89
iris,ss,v,IZ-A,1,0.92
iris,ss,v,IZ-A,2,0.83
iris,ss,v,IZ-A,3,0.93
iris,ss,v,IZ-A,4,0.91
iris,ss,v,IZ-A,5,0.8
iris,ss,v,IZ-A,6,0.86
iris,ss,v,IZ-A,7,0.92
iris,ss,v,IZ-A,8,0.93
iris,ss,v,IZ-A,9,0.91
iris,ss,v,IZ-A,10,0.88
iris,ss,v,IZ-B,0,0.91
iris,ss,v,IZ-B,1,0.86
iris,ss,v,IZ-B,2,0.89
iris,ss,v,IZ-B,3,0.93
iris,ss,v,IZ-B,4,0.93
iris,ss,v,IZ-B,5,0.83
iris,ss,v,IZ-B,6,0.86
iris,ss,v,IZ-B,7,0.91
iris,ss,v,IZ-B,8,0.91
iris,ss,v,IZ-B,9,0.85
iris,ss,v,IZ-B,10,0.9
iris,ss,v,IZ-C,0,0.93
iris,ss,v,IZ-C,1,0.92
iris,ss,v,IZ-C,2,0.95
iris,ss,v,IZ-C,3,0.93
iris,ss,v,IZ-C,4,0.94
iris,ss,v,IZ-C,5,0.93
iris,ss,v,IZ-C,6,0.93
iris,ss,v,IZ-C,7,0.93
iris,ss,v,IZ-C,8,0.93
iris,ss,v,IZ-C,9,0.94
iris,ss,v,IZ-C,10,0.94
iris,ss,v,IZ-D,0,0.89
iris,ss,v,IZ-D,1,0.81
iris,ss,v,IZ-D,2,0.89
iris,ss,v,IZ-D,3,0.93
iris,ss,v,IZ-D,4,0.91
iris,ss,v,IZ-D,5,0.93
iris,ss,v,IZ-D,6,0.91
iris,ss,v,IZ-D,7,0.92
iris,ss,v,IZ-D,8,0.89
iris,ss,v,IZ-D,9,0.91
iris,ss,v,IZ-D,10,0.92
iris,ss,v,IZ-E,0,0.9
iris,ss,v,IZ-E,1,0.94
iris,ss,v,IZ-E,2,0.91
iris,ss,v,IZ-E,3,0.85
iris,ss,v,IZ-E,4,0.86
iris,ss,v,IZ-E,5,0.81
iris,ss,v,IZ-E,6,0.92
iris,ss,v,IZ-E,7,0.9
iris,ss,v,IZ-E,8,0.85
iris,ss,v,IZ-E,9,0.88
iris,ss,v,IZ-E,10,0.92
iris,ss,v,IZ-F,0,0.92
iris,ss,v,IZ-F,1,0.85
iris,ss,v,IZ-F,2,0.89
iris,ss,v,IZ-F,3,0.85
iris,ss,v,IZ-F,4,0.91
iris,ss,v,IZ-F,5,0.91
iris,ss,v,IZ-F,6,0.89
iris,ss,v,IZ-F,7,0.88
iris,ss,v,IZ-F,8,0.9
iris,ss,v,IZ-F,9,0.87
iris,ss,v,IZ-F,10,0.89
iris,ss,v,IZ-G,0,0.93
iris,ss,v,IZ-G,1,0.86
iris,ss,v,IZ-G,2,0.93
iris,ss,v,IZ-G,3,0.92
iris,ss,v,IZ-G,4,0.9
iris,ss,v,IZ-G,5,0.86
iris,ss,v,IZ-G,6,0.92
iris,ss,v,IZ-G,7,0.92
iris,ss,v,IZ-G,8,0.93
iris,ss,v,IZ-G,9,0.91
iris,ss,v,IZ-G,10,0.88
iris,ss,v,IZ-H,0,0.91
iris,ss,v,IZ-H,1,0.91
iris,ss,v,IZ-H,2,0.91
iris,ss,v,IZ-H,3,0.87
iris,ss,v,IZ-H,4,0.94
iris,ss,v,IZ-H,5,0.89
iris,ss,v,IZ-H,6,0.86
iris,ss,v,IZ-H,7,0.95
iris,ss,v,IZ-H,8,0.91
iris,ss,v,IZ-H,9,0.92
iris,ss,v,IZ-H,10,0.92
iris,t,fs,IZ-A,0,0.92
iris,t,fs,IZ-A,1,0.94
iris,t,fs,IZ-A,2,0.94
iris,t,fs,IZ-A,3,0.95
iris,t,fs,IZ-A,4,0.94
iris,t,fs,IZ-A,5,0.93
iris,t,fs,IZ-A,6,0.95
iris,t,fs,IZ-A,7,0.93
iris,t,fs,IZ-A,8,0.94
iris,t,fs,IZ-A,9,0.92
iris,t,fs,IZ-A,10,0.94
