dataset,encoder,decoder,model,run,fitness
iris,t,fs,IZ-B,0,0.94
iris,t,fs,IZ-B,1,0.95
iris,t,fs,IZ-B,2,0.94
iris,t,fs,IZ-B,3,0.94
iris,t,fs,IZ-B,4,0.95
iris,t,fs,IZ-B,5,0.93
iris,t,fs,IZ-B,6,0.93
iris,t,fs,IZ-B,7,0.94
iris,t,fs,IZ-B,8,0.95
iris,t,fs,IZ-B,9,0.93
iris,t,fs,IZ-B,10,0.88
iris,t,fs,IZ-C,0,0.93
iris,t,fs,IZ-C,1,0.94
iris,t,fs,IZ-C,2,0.94
iris,t,fs,IZ-C,3,0.94
iris,t,fs,IZ-C,4,0.94
iris,t,fs,IZ-C,5,0.93
iris,t,fs,IZ-C,6,0.94
iris,t,fs,IZ-C,7,0.95
iris,t,fs,IZ-C,8,0.95
iris,t,fs,IZ-C,9,0.92
iris,t,fs,IZ-C,10,0.93
iris,t,fs,IZ-D,0,0.92
iris,t,fs,IZ-D,1,0.93
iris,t,fs,IZ-D,2,0.91
iris,t,fs,IZ-D,3,0.91
iris,t,fs,IZ-D,4,0.93
iris,t,fs,IZ-D,5,0.93
iris,t,fs,IZ-D,6,0.96
iris,t,fs,IZ-D,7,0.93
iris,t,fs,IZ-D,8,0.91
iris,t,fs,IZ-D,9,0.93
iris,t,fs,IZ-D,10,0.94
iris,t,fs,IZ-E,0,0.93
iris,t,fs,IZ-E,1,0.95
iris,t,fs,IZ-E,2,0.92
iris,t,fs,IZ-E,3,0.92
iris,t,fs,IZ-E,4,0.91
iris,t,fs,IZ-E,5,0.94
iris,t,fs,IZ-E,6,0.95
iris,t,fs,IZ-E,7,0.93
iris,t,fs,IZ-E,8,0.97
iris,t,fs,IZ-E,9,0.94
iris,t,fs,IZ-E,10,0.94
iris,t,fs,IZ-F,0,0.94
iris,t,fs,IZ-F,1,0.93
iris,t,fs,IZ-F,2,0.94
iris,t,fs,IZ-F,3,0.95
iris,t,fs,IZ-F,4,0.94
iris,t,fs,IZ-F,5,0.93
iris,t,fs,IZ-F,6,0.94
iris,t,fs,IZ-F,7,0.95
iris,t,fs,IZ-F,8,0.95
iris,t,fs,IZ-F,9,0.94
iris,t,fs,IZ-F,10,0.94
iris,t,fs,IZ-G,0,0.92
iris,t,fs,IZ-G,1,0.94
iris,t,fs,IZ-G,2,0.94
iris,t,fs,IZ-G,3,0.9
iris,t,fs,IZ-G,4,0.93
iris,t,fs,IZ-G,5,0.93
iris,t,fs,IZ-G,6,0.93
iris,t,fs,IZ-G,7,0.92
iris,t,fs,IZ-G,8,0.93
iris,t,fs,IZ-G,9,0.92
iris,t,fs,IZ-G,10,0.92
iris,t,fs,IZ-H,0,0.95
iris,t,fs,IZ-H,1,0.92
iris,t,fs,IZ-H,2,0.94
iris,t,fs,IZ-H,3,0.94
iris,t,fs,IZ-H,4,0.88
iris,t,fs,IZ-H,5,0.96
iris,t,fs,IZ-H,6,0.9
iris,t,fs,IZ-H,7,0.94
iris,t,fs,IZ-H,8,0.9
iris,t,fs,IZ-H,9,0.9
iris,t,fs,IZ-H,10,0.94
iris,t,v,IZ-A,0,0.86
iris,t,v,IZ-A,1,0.89
iris,t,v,IZ-A,2,0.92
iris,t,v,IZ-A,3,0.92
iris,t,v,IZ-A,4,0.92
iris,t,v,IZ-A,5,0.87
iris,t,v,IZ-A,6,0.9
iris,t,v,IZ-A,7,0.9
iris,t,v,IZ-A,8,0.92
iris,t,v,IZ-A,9,0.91
iris,t,v,IZ-A,10,0.89
iris,t,v,IZ-B,0,0.92
iris,t,v,IZ-B,1,0.91
iris,t,v,IZ-B,2,0.93
iris,t,v,IZ-B,3,0.92
iris,t,v,IZ-B,4,0.89
iris,t,v,IZ-B,5,0.92
iris,t,v,IZ-B,6,0.91
iris,t,v,IZ-B,7,0.93
iris,t,v,IZ-B,8,0.91
iris,t,v,IZ-B,9,0.89
iris,t,v,IZ-B,10,0.95
iris,t,v,IZ-C,0,0.97
iris,t,v,IZ-C,1,0.85
iris,t,v,IZ-C,2,0.96
iris,t,v,IZ-C,3,0.95
iris,t,v,IZ-C,4,0.95
iris,t,v,IZ-C,5,0.95
iris,t,v,IZ-C,6,0.95
iris,t,v,IZ-C,7,0.94
iris,t,v,IZ-C,8,0.92
iris,t,v,IZ-C,9,0.94
iris,t,v,IZ-C,10,0.88
iris,t,v,IZ-D,0,0.94
iris,t,v,IZ-D,1,0.91
iris,t,v,IZ-D,2,0.92
iris,t,v,IZ-D,3,0.96
iris,t,v,IZ-D,4,0.95
iris,t,v,IZ-D,5,0.95
iris,t,v,IZ-D,6,0.94
iris,t,v,IZ-D,7,0.95
iris,t,v,IZ-D,8,0.93
iris,t,v,IZ-D,9,0.95
iris,t,v,IZ-D,10,0.91
iris,t,v,IZ-E,0,0.93
iris,t,v,IZ-E,1,0.94
iris,t,v,IZ-E,2,0.9
iris,t,v,IZ-E,3,0.94
iris,t,v,IZ-E,4,0.93
iris,t,v,IZ-E,5,0.94
iris,t,v,IZ-E,6,0.93
iris,t,v,IZ-E,7,0.85
iris,t,v,IZ-E,8,0.92
iris,t,v,IZ-E,9,0.92
iris,t,v,IZ-E,10,0.95
iris,t,v,IZ-F,0,0.88
iris,t,v,IZ-F,1,0.9
iris,t,v,IZ-F,2,0.82
iris,t,v,IZ-F,3,0.82
iris,t,v,IZ-F,4,0.9
iris,t,v,IZ-F,5,0.82
iris,t,v,IZ-F,6,0.87
iris,t,v,IZ-F,7,0.9
iris,t,v,IZ-F,8,0.86
iris,t,v,IZ-F,9,0.86
iris,t,v,IZ-F,10,0.84
iris,t,v,IZ-G,0,0.91
iris,t,v,IZ-G,1,0.85
iris,t,v,IZ-G,2,0.9
iris,t,v,IZ-G,3,0.94
iris,t,v,IZ-G,4,0.94
iris,t,v,IZ-G,5,0.92
iris,t,v,IZ-G,6,0.88
iris,t,v,IZ-G,7,0.9
iris,t,v,IZ-G,8,0.93
iris,t,v,IZ-G,9,0.92
iris,t,v,IZ-G,10,0.94
iris,t,v,IZ-H,0,0.95
iris,t,v,IZ-H,1,0.95
iris,t,v,IZ-H,2,0.91
iris,t,v,IZ-H,3,0.94
iris,t,v,IZ-H,4,0.93
iris,t,v,IZ-H,5,0.94
iris,t,v,IZ-H,6,0.93
iris,t,v,IZ-H,7,0.89
iris,t,v,IZ-H,8,0.93
iris,t,v,IZ-H,9,0.94
iris,t,v,IZ-H,10,0.91
wine,ss,fs,IZ-A,0,0.78
wine,ss,fs,IZ-A,1,0.71
wine,ss,fs,IZ-A,2,0.79
wine,ss,fs,IZ-A,3,0.72
wine,ss,fs,IZ-A,4,0.79
wine,ss,fs,IZ-A,5,0.78
wine,ss,fs,IZ-A,6,0.74
wine,ss,fs,IZ-A,7,0.77
wine,ss,fs,IZ-A,8,0.76
wine,ss,fs,IZ-A,9,0.74
wine,ss,fs,IZ-A,10,0.74
wine,ss,fs,IZ-B,0,0.79
wine,ss,fs,IZ-B,1,0.72
wine,ss,fs,IZ-B,2,0.8
wine,ss,fs,IZ-B,3,0.8
wine,ss,fs,IZ-B,4,0.81
wine,ss,fs,IZ-B,5,0.8
wine,ss,fs,IZ-B,6,0.78
wine,ss,fs,IZ-B,7,0.68
wine,ss,fs,IZ-B,8,0.71
wine,ss,fs,IZ-B,9,0.77
wine,ss,fs,IZ-B,10,0.77
wine,ss,fs,IZ-C,0,0.82
wine,ss,fs,IZ-C,1,0.64
wine,ss,fs,IZ-C,2,0.78
wine,ss,fs,IZ-C,3,0.69
wine,ss,fs,IZ-C,4,0.75
wine,ss,fs,IZ-C,5,0.74
wine,ss,fs,IZ-C,6,0.76
wine,ss,fs,IZ-C,7,0.83
wine,ss,fs,IZ-C,8,0.76
wine,ss,fs,IZ-C,9,0.74
wine,ss,fs,IZ-C,10,0.77
wine,ss,fs,IZ-D,0,0.73
wine,ss,fs,IZ-D,1,0.82
wine,ss,fs,IZ-D,2,0.74
wine,ss,fs,IZ-D,3,0.72
wine,ss,fs,IZ-D,4,0.73
wine,ss,fs,IZ-D,5,0.78
wine,ss,fs,IZ-D,6,0.73
wine,ss,fs,IZ-D,7,0.75
wine,ss,fs,IZ-D,8,0.72
wine,ss,fs,IZ-D,9,0.7
wine,ss,fs,IZ-D,10,0.7
wine,ss,fs,IZ-E,0,0.76
wine,ss,fs,IZ-E,1,0.69
wine,ss,fs,IZ-E,2,0.7
wine,ss,fs,IZ-E,3,0.77
wine,ss,fs,IZ-E,4,0.8
wine,ss,fs,IZ-E,5,0.86
wine,ss,fs,IZ-E,6,0.86
wine,ss,fs,IZ-E,7,0.75
wine,ss,fs,IZ-E,8,0.76
wine,ss,fs,IZ-E,9,0.81
wine,ss,fs,IZ-E,10,0.76
wine,ss,fs,IZ-F,0,0.8
wine,ss,fs,IZ-F,1,0.84
wine,ss,fs,IZ-F,2,0.7
wine,ss,fs,IZ-F,3,0.83
wine,ss,fs,IZ-F,4,0.71
wine,ss,fs,IZ-F,5,0.78
wine,ss,fs,IZ-F,6,0.73
wine,ss,fs,IZ-F,7,0.65
wine,ss,fs,IZ-F,8,0.64
wine,ss,fs,IZ-F,9,0.81
wine,ss,fs,IZ-F,10,0.79
wine,ss,fs,IZ-G,0,0.78
wine,ss,fs,IZ-G,1,0.72
wine,ss,fs,IZ-G,2,0.72
wine,ss,fs,IZ-G,3,0.65
wine,ss,fs,IZ-G,4,0.63
wine,ss,fs,IZ-G,5,0.78
wine,ss,fs,IZ-G,6,0.81
wine,ss,fs,IZ-G,7,0.75
wine,ss,fs,IZ-G,8,0.8
wine,ss,fs,IZ-G,9,0.81
wine,ss,fs,IZ-G,10,0.75
wine,ss,fs,IZ-H,0,0.75
wine,ss,fs,IZ-H,1,0.78
wine,ss,fs,IZ-H,2,0.62
wine,ss,fs,IZ-H,3,0.7
wine,ss,fs,IZ-H,4,0.78
wine,ss,fs,IZ-H,5,0.65
wine,ss,fs,IZ-H,6,0.82
wine,ss,fs,IZ-H,7,0.68
wine,ss,fs,IZ-H,8,0.78
wine,ss,fs,IZ-H,9,0.78
wine,ss,fs,IZ-H,10,0.83
wine,ss,v,IZ-A,0,0.77
wine,ss,v,IZ-A,1,0.79
wine,ss,v,IZ-A,2,0.7
wine,ss,v,IZ-A,3,0.69
wine,ss,v,IZ-A,4,0.64
wine,ss,v,IZ-A,5,0.77
wine,ss,v,IZ-A,6,0.79
wine,ss,v,IZ-A,7,0.79
wine,ss,v,IZ-A,8,0.83
wine,ss,v,IZ-A,9,0.81
wine,ss,v,IZ-A,10,0.83
wine,ss,v,IZ-B,0,0.78
wine,ss,v,IZ-B,1,0.74
wine,ss,v,IZ-B,2,0.78
wine,ss,v,IZ-B,3,0.78
wine,ss,v,IZ-B,4,0.8
wine,ss,v,IZ-B,5,0.68
wine,ss,v,IZ-B,6,0.83
wine,ss,v,IZ-B,7,0.75
wine,ss,v,IZ-B,8,0.77
wine,ss,v,IZ-B,9,0.72
wine,ss,v,IZ-B,10,0.72
wine,ss,v,IZ-C,0,0.73
wine,ss,v,IZ-C,1,0.77
wine,ss,v,IZ-C,2,0.84
wine,ss,v,IZ-C,3,0.77
wine,ss,v,IZ-C,4,0.79
wine,ss,v,IZ-C,5,0.76
wine,ss,v,IZ-C,6,0.79
wine,ss,v,IZ-C,7,0.68
wine,ss,v,IZ-C,8,0.81
wine,ss,v,IZ-C,9,0.76
wine,ss,v,IZ-C,10,0.69
wine,ss,v,IZ-D,0,0.81
wine,ss,v,IZ-D,1,0.71
wine,ss,v,IZ-D,2,0.7
wine,ss,v,IZ-D,3,0.81
wine,ss,v,IZ-D,4,0.75
wine,ss,v,IZ-D,5,0.83
wine,ss,v,IZ-D,6,0.74
wine,ss,v,IZ-D,7,0.77
wine,ss,v,IZ-D,8,0.81
wine,ss,v,IZ-D,9,0.76
wine,ss,v,IZ-D,10,0.81
wine,ss,v,IZ-E,0,0.61
wine,ss,v,IZ-E,1,0.78
wine,ss,v,IZ-E,2,0.71
wine,ss,v,IZ-E,3,0.77
wine,ss,v,IZ-E,4,0.6
wine,ss,v,IZ-E,5,0.78
wine,ss,v,IZ-E,6,0.72
wine,ss,v,IZ-E,7,0.75
wine,ss,v,IZ-E,8,0.71
wine,ss,v,IZ-E,9,0.72
wine,ss,v,IZ-E,10,0.71
wine,ss,v,IZ-F,0,0.66
wine,ss,v,IZ-F,1,0.75
wine,ss,v,IZ-F,2,0.71
wine,ss,v,IZ-F,3,0.75
wine,ss,v,IZ-F,4,0.76
wine,ss,v,IZ-F,5,0.68
wine,ss,v,IZ-F,6,0.78
wine,ss,v,IZ-F,7,0.75
wine,ss,v,IZ-F,8,0.79
wine,ss,v,IZ-F,9,0.75
wine,ss,v,IZ-F,10,0.71
wine,ss,v,IZ-G,0,0.76
wine,ss,v,IZ-G,1,0.72
wine,ss,v,IZ-G,2,0.68
wine,ss,v,IZ-G,3,0.73
wine,ss,v,IZ-G,4,0.73
wine,ss,v,IZ-G,5,0.79
wine,ss,v,IZ-G,6,0.84
wine,ss,v,IZ-G,7,0.82
wine,ss,v,IZ-G,8,0.73
wine,ss,v,IZ-G,9,0.76
wine,ss,v,IZ-G,10,0.68
wine,ss,v,IZ-H,0,0.75
wine,ss,v,IZ-H,1,0.74
wine,ss,v,IZ-H,2,0.76
wine,ss,v,IZ-H,3,0.76
wine,ss,v,IZ-H,4,0.8
wine,ss,v,IZ-H,5,0.81
wine,ss,v,IZ-H,6,0.8
wine,ss,v,IZ-H,7,0.73
wine,ss,v,IZ-H,8,0.79
wine,ss,v,IZ-H,9,0.84
wine,ss,v,IZ-H,10,0.74
wine,t,fs,IZ-A,0,0.71
wine,t,fs,IZ-A,1,0.69
wine,t,fs,IZ-A,2,0.69
wine,t,fs,IZ-A,3,0.61
wine,t,fs,IZ-A,4,0.67
wine,t,fs,IZ-A,5,0.69
wine,t,fs,IZ-A,6,0.72
wine,t,fs,IZ-A,7,0.73
wine,t,fs,IZ-A,8,0.75
wine,t,fs,IZ-A,9,0.77
wine,t,fs,IZ-A,10,0.7
wine,t,fs,IZ-B,0,0.75
wine,t,fs,IZ-B,1,0.67
wine,t,fs,IZ-B,2,0.7
wine,t,fs,IZ-B,3,0.67
wine,t,fs,IZ-B,4,0.72
wine,t,fs,IZ-B,5,0.75
wine,t,fs,IZ-B,6,0.73
wine,t,fs,IZ-B,7,0.71
wine,t,fs,IZ-B,8,0.77
wine,t,fs,IZ-B,9,0.78
wine,t,fs,IZ-B,10,0.67
wine,t,fs,IZ-C,0,0.71
wine,t,fs,IZ-C,1,0.66
wine,t,fs,IZ-C,2,0.65
wine,t,fs,IZ-C,3,0.77
wine,t,fs,IZ-C,4,0.76
wine,t,fs,IZ-C,5,0.72
wine,t,fs,IZ-C,6,0.63
wine,t,fs,IZ-C,7,0.72
wine,t,fs,IZ-C,8,0.64
wine,t,fs,IZ-C,9,0.81
wine,t,fs,IZ-C,10,0.68
wine,t,fs,IZ-D,0,0.7
wine,t,fs,IZ-D,1,0.77
wine,t,fs,IZ-D,2,0.69
wine,t,fs,IZ-D,3,0.72
wine,t,fs,IZ-D,4,0.67
wine,t,fs,IZ-D,5,0.75
wine,t,fs,IZ-D,6,0.76
wine,t,fs,IZ-D,7,0.61
wine,t,fs,IZ-D,8,0.71
wine,t,fs,IZ-D,9,0.72
wine,t,fs,IZ-D,10,0.72
wine,t,fs,IZ-E,0,0.65
wine,t,fs,IZ-E,1,0.73
wine,t,fs,IZ-E,2,0.66
wine,t,fs,IZ-E,3,0.63
wine,t,fs,IZ-E,4,0.7
wine,t,fs,IZ-E,5,0.74
wine,t,fs,IZ-E,6,0.73
wine,t,fs,IZ-E,7,0.73
wine,t,fs,IZ-E,8,0.67
wine,t,fs,IZ-E,9,0.69
wine,t,fs,IZ-E,10,0.66
wine,t,fs,IZ-F,0,0.73
wine,t,fs,IZ-F,1,0.68
wine,t,fs,IZ-F,2,0.66
wine,t,fs,IZ-F,3,0.73
wine,t,fs,IZ-F,4,0.67
wine,t,fs,IZ-F,5,0.73
wine,t,fs,IZ-F,6,0.7
wine,t,fs,IZ-F,7,0.7
wine,t,fs,IZ-F,8,0.69
wine,t,fs,IZ-F,9,0.68
wine,t,fs,IZ-F,10,0.62
wine,t,fs,IZ-G,0,0.71
wine,t,fs,IZ-G,1,0.63
wine,t,fs,IZ-G,2,0.68
wine,t,fs,IZ-G,3,0.72
wine,t,fs,IZ-G,4,0.61
wine,t,fs,IZ-G,5,0.76
wine,t,fs,IZ-G,6,0.67
wine,t,fs,IZ-G,7,0.6
wine,t,fs,IZ-G,8,0.71
wine,t,fs,IZ-G,9,0.67
wine,t,fs,IZ-G,10,0.72
wine,t,fs,IZ-H,0,0.73
wine,t,fs,IZ-H,1,0.71
wine,t,fs,IZ-H,2,0.69
wine,t,fs,IZ-H,3,0.65
wine,t,fs,IZ-H,4,0.7
wine,t,fs,IZ-H,5,0.77
wine,t,fs,IZ-H,6,0.69
wine,t,fs,IZ-H,7,0.71
wine,t,fs,IZ-H,8,0.69
wine,t,fs,IZ-H,9,0.73
wine,t,fs,IZ-H,10,0.67
wine,t,v,IZ-A,0,0.76
wine,t,v,IZ-A,1,0.75
wine,t,v,IZ-A,2,0.72
wine,t,v,IZ-A,3,0.74
wine,t,v,IZ-A,4,0.84
wine,t,v,IZ-A,5,0.76
wine,t,v,IZ-A,6,0.68
wine,t,v,IZ-A,7,0.66
wine,t,v,IZ-A,8,0.75
wine,t,v,IZ-A,9,0.81
wine,t,v,IZ-A,10,0.79
wine,t,v,IZ-B,0,0.76
wine,t,v,IZ-B,1,0.8
wine,t,v,IZ-B,2,0.73
wine,t,v,IZ-B,3,0.67
wine,t,v,IZ-B,4,0.73
wine,t,v,IZ-B,5,0.67
wine,t,v,IZ-B,6,0.67
wine,t,v,IZ-B,7,0.81
wine,t,v,IZ-B,8,0.78
wine,t,v,IZ-B,9,0.66
wine,t,v,IZ-B,10,0.76
wine,t,v,IZ-C,0,0.78
wine,t,v,IZ-C,1,0.79
wine,t,v,IZ-C,2,0.85
wine,t,v,IZ-C,3,0.74
wine,t,v,IZ-C,4,0.75
wine,t,v,IZ-C,5,0.72
wine,t,v,IZ-C,6,0.8
wine,t,v,IZ-C,7,0.78
wine,t,v,IZ-C,8,0.84
wine,t,v,IZ-C,9,0.78
wine,t,v,IZ-C,10,0.81
wine,t,v,IZ-D,0,0.83
wine,t,v,IZ-D,1,0.83
wine,t,v,IZ-D,2,0.74
wine,t,v,IZ-D,3,0.71
wine,t,v,IZ-D,4,0.78
wine,t,v,IZ-D,5,0.68
wine,t,v,IZ-D,6,0.76
wine,t,v,IZ-D,7,0.77
wine,t,v,IZ-D,8,0.77
wine,t,v,IZ-D,9,0.75
wine,t,v,IZ-D,10,0.74
wine,t,v,IZ-E,0,0.75
wine,t,v,IZ-E,1,0.85
wine,t,v,IZ-E,2,0.75
wine,t,v,IZ-E,3,0.76
wine,t,v,IZ-E,4,0.72
wine,t,v,IZ-E,5,0.89
wine,t,v,IZ-E,6,0.85
wine,t,v,IZ-E,7,0.84
wine,t,v,IZ-E,8,0.81
wine,t,v,IZ-E,9,0.81
wine,t,v,IZ-E,10,0.83
wine,t,v,IZ-F,0,0.76
wine,t,v,IZ-F,1,0.8
wine,t,v,IZ-F,2,0.72
wine,t,v,IZ-F,3,0.79
wine,t,v,IZ-F,4,0.77
wine,t,v,IZ-F,5,0.77
wine,t,v,IZ-F,6,0.81
wine,t,v,IZ-F,7,0.76
wine,t,v,IZ-F,8,0.84
wine,t,v,IZ-F,9,0.73
wine,t,v,IZ-F,10,0.77
wine,t,v,IZ-G,0,0.79
wine,t,v,IZ-G,1,0.69
wine,t,v,IZ-G,2,0.8
wine,t,v,IZ-G,3,0.82
wine,t,v,IZ-G,4,0.76
wine,t,v,IZ-G,5,0.74
wine,t,v,IZ-G,6,0.78
wine,t,v,IZ-G,7,0.64
wine,t,v,IZ-G,8,0.75
wine,t,v,IZ-G,9,0.86
wine,t,v,IZ-G,10,0.76
wine,t,v,IZ-H,0,0.81
wine,t,v,IZ-H,1,0.81
wine,t,v,IZ-H,2,0.83
wine,t,v,IZ-H,3,0.84
wine,t,v,IZ-H,4,0.77
wine,t,v,IZ-H,5,0.86
wine,t,v,IZ-H,6,0.85
wine,t,v,IZ-H,7,0.77
wine,t,v,IZ-H,8,0.81
wine,t,v,IZ-H,9,0.79
wine,t,v,IZ-H,10,0.79
