dataset,encoder,decoder,model,run,nodes,connections,hidden
bc,ss,fs,IZ-A,0,122,241,0
bc,ss,fs,IZ-A,1,123,243,1
bc,ss,fs,IZ-A,10,122,241,0
bc,ss,fs,IZ-A,2,122,240,0
bc,ss,fs,IZ-A,3,123,241,1
bc,ss,fs,IZ-A,4,122,243,0
bc,ss,fs,IZ-A,5,122,242,0
bc,ss,fs,IZ-A,6,122,241,0
bc,ss,fs,IZ-A,7,124,248,2
bc,ss,fs,IZ-A,8,123,243,1
bc,ss,fs,IZ-A,9,124,243,2
bc,ss,fs,IZ-B,0,123,244,1
bc,ss,fs,IZ-B,1,122,243,0
bc,ss,fs,IZ-B,10,124,245,2
bc,ss,fs,IZ-B,2,122,242,0
bc,ss,fs,IZ-B,3,122,240,0
bc,ss,fs,IZ-B,4,124,244,2
bc,ss,fs,IZ-B,5,122,242,0
bc,ss,fs,IZ-B,6,123,243,1
bc,ss,fs,IZ-B,7,125,244,3
bc,ss,fs,IZ-B,8,123,244,1
bc,ss,fs,IZ-B,9,123,244,1
bc,ss,fs,IZ-C,0,122,240,0
bc,ss,fs,IZ-C,1,123,241,1
bc,ss,fs,IZ-C,10,123,243,1
bc,ss,fs,IZ-C,2,123,243,1
bc,ss,fs,IZ-C,3,123,242,1
bc,ss,fs,IZ-C,4,123,242,1
bc,ss,fs,IZ-C,5,123,242,1
bc,ss,fs,IZ-C,6,122,240,0
bc,ss,fs,IZ-C,7,124,243,2
bc,ss,fs,IZ-C,8,123,244,1
bc,ss,fs,IZ-C,9,123,242,1
bc,ss,fs,IZ-D,0,124,243,2
bc,ss,fs,IZ-D,1,123,242,1
bc,ss,fs,IZ-D,10,122,242,0
bc,ss,fs,IZ-D,2,124,245,2
bc,ss,fs,IZ-D,3,123,241,0
bc,ss,fs,IZ-D,4,123,243,1
bc,ss,fs,IZ-D,5,123,245,1
bc,ss,fs,IZ-D,6,124,243,2
bc,ss,fs,IZ-D,7,122,243,0
bc,ss,fs,IZ-D,8,123,242,1
bc,ss,fs,IZ-D,9,125,246,3
bc,ss,fs,IZ-E,0,123,241,1
bc,ss,fs,IZ-E,1,122,240,0
bc,ss,fs,IZ-E,10,122,241,0
bc,ss,fs,IZ-E,2,124,243,2
bc,ss,fs,IZ-E,3,122,240,0
bc,ss,fs,IZ-E,4,123,241,1
bc,ss,fs,IZ-E,5,123,242,1
bc,ss,fs,IZ-E,6,125,243,3
bc,ss,fs,IZ-E,7,122,243,0
bc,ss,fs,IZ-E,8,123,241,1
bc,ss,fs,IZ-E,9,122,240,0
bc,ss,fs,IZ-F,0,125,244,3
bc,ss,fs,IZ-F,1,124,245,2
bc,ss,fs,IZ-F,10,124,242,2
bc,ss,fs,IZ-F,2,124,245,2
bc,ss,fs,IZ-F,3,123,242,1
bc,ss,fs,IZ-F,4,123,241,1
bc,ss,fs,IZ-F,5,122,243,0
bc,ss,fs,IZ-F,6,124,243,2
bc,ss,fs,IZ-F,7,124,244,2
bc,ss,fs,IZ-F,8,124,243,2
bc,ss,fs,IZ-F,9,124,244,2
bc,ss,fs,IZ-G,0,123,242,1
bc,ss,fs,IZ-G,1,123,243,1
bc,ss,fs,IZ-G,10,123,243,1
bc,ss,fs,IZ-G,2,123,241,1
bc,ss,fs,IZ-G,3,122,241,0
bc,ss,fs,IZ-G,4,123,241,1
bc,ss,fs,IZ-G,5,122,241,0
bc,ss,fs,IZ-G,6,123,241,1
bc,ss,fs,IZ-G,7,124,242,2
bc,ss,fs,IZ-G,8,124,242,2
bc,ss,fs,IZ-G,9,125,243,3
bc,ss,fs,IZ-H,0,123,242,1
bc,ss,fs,IZ-H,1,122,244,0
bc,ss,fs,IZ-H,10,122,240,0
bc,ss,fs,IZ-H,2,123,242,1
bc,ss,fs,IZ-H,3,123,243,1
bc,ss,fs,IZ-H,4,123,245,1
bc,ss,fs,IZ-H,5,123,243,1
bc,ss,fs,IZ-H,6,122,241,0
bc,ss,fs,IZ-H,7,124,244,2
bc,ss,fs,IZ-H,8,125,243,3
bc,ss,fs,IZ-H,9,124,242,2
bc,ss,v,IZ-A,0,124,243,2
bc,ss,v,IZ-A,1,123,243,1
bc,ss,v,IZ-A,10,127,248,5
bc,ss,v,IZ-A,2,123,243,1
bc,ss,v,IZ-A,3,124,245,2
bc,ss,v,IZ-A,4,123,242,1
bc,ss,v,IZ-A,5,122,243,0
bc,ss,v,IZ-A,6,123,243,1
bc,ss,v,IZ-A,7,122,243,0
bc,ss,v,IZ-A,8,124,243,2
bc,ss,v,IZ-A,9,122,240,0
bc,ss,v,IZ-B,0,123,241,1
bc,ss,v,IZ-B,1,122,241,0
bc,ss,v,IZ-B,10,123,241,1
bc,ss,v,IZ-B,2,122,242,0
bc,ss,v,IZ-B,3,123,243,1
bc,ss,v,IZ-B,4,123,241,1
bc,ss,v,IZ-B,5,122,241,0
bc,ss,v,IZ-B,6,123,243,1
bc,ss,v,IZ-B,7,122,240,0
bc,ss,v,IZ-B,8,125,246,3
bc,ss,v,IZ-B,9,123,241,1
bc,ss,v,IZ-C,0,122,241,0
bc,ss,v,IZ-C,1,124,242,2
bc,ss,v,IZ-C,10,124,243,2
bc,ss,v,IZ-C,2,123,244,1
bc,ss,v,IZ-C,3,122,245,0
bc,ss,v,IZ-C,4,123,242,1
bc,ss,v,IZ-C,5,123,241,1
bc,ss,v,IZ-C,6,122,240,0
bc,ss,v,IZ-C,7,122,241,0
bc,ss,v,IZ-C,8,123,242,1
bc,ss,v,IZ-C,9,122,240,0
bc,ss,v,IZ-D,0,123,241,1
bc,ss,v,IZ-D,1,122,240,0
bc,ss,v,IZ-D,10,123,245,1
bc,ss,v,IZ-D,2,123,241,1
bc,ss,v,IZ-D,3,125,243,3
bc,ss,v,IZ-D,4,124,243,1
bc,ss,v,IZ-D,5,126,245,4
bc,ss,v,IZ-D,6,124,242,2
bc,ss,v,IZ-D,7,122,241,0
bc,ss,v,IZ-D,8,124,243,2
bc,ss,v,IZ-D,9,125,243,3
bc,ss,v,IZ-E,0,123,241,1
bc,ss,v,IZ-E,1,125,245,3
bc,ss,v,IZ-E,10,123,241,1
bc,ss,v,IZ-E,2,124,244,2
bc,ss,v,IZ-E,3,124,243,1
bc,ss,v,IZ-E,4,122,241,0
bc,ss,v,IZ-E,5,122,241,0
bc,ss,v,IZ-E,6,123,242,1
bc,ss,v,IZ-E,7,123,241,1
bc,ss,v,IZ-E,8,123,241,1
bc,ss,v,IZ-E,9,123,241,1
bc,ss,v,IZ-F,0,122,240,0
bc,ss,v,IZ-F,1,122,244,0
bc,ss,v,IZ-F,10,122,245,0
bc,ss,v,IZ-F,2,126,244,4
bc,ss,v,IZ-F,3,122,240,0
bc,ss,v,IZ-F,4,123,242,1
bc,ss,v,IZ-F,5,124,243,2
bc,ss,v,IZ-F,6,123,243,1
bc,ss,v,IZ-F,7,124,243,2
bc,ss,v,IZ-F,8,123,242,1
bc,ss,v,IZ-F,9,123,243,1
bc,ss,v,IZ-G,0,123,243,1
bc,ss,v,IZ-G,1,127,248,5
bc,ss,v,IZ-G,10,122,241,0
bc,ss,v,IZ-G,2,125,245,3
bc,ss,v,IZ-G,3,122,241,0
bc,ss,v,IZ-G,4,123,241,1
bc,ss,v,IZ-G,5,122,239,0
bc,ss,v,IZ-G,6,122,241,0
bc,ss,v,IZ-G,7,123,242,1
bc,ss,v,IZ-G,8,124,243,2
bc,ss,v,IZ-G,9,122,241,0
bc,ss,v,IZ-H,0,123,243,1
bc,ss,v,IZ-H,1,122,240,0
bc,ss,v,IZ-H,10,123,242,1
bc,ss,v,IZ-H,2,123,242,1
bc,ss,v,IZ-H,3,124,243,2
bc,ss,v,IZ-H,4,122,242,0
bc,ss,v,IZ-H,5,123,242,1
bc,ss,v,IZ-H,6,123,242,1
bc,ss,v,IZ-H,7,123,242,1
bc,ss,v,IZ-H,8,124,244,2
bc,ss,v,IZ-H,9,122,241,0
bc,t,fs,IZ-A,0,123,241,1
bc,t,fs,IZ-A,1,123,244,1
bc,t,fs,IZ-A,10,122,241,0
bc,t,fs,IZ-A,2,124,242,2
bc,t,fs,IZ-A,3,122,241,0
bc,t,fs,IZ-A,4,122,240,0
bc,t,fs,IZ-A,5,124,244,2
bc,t,fs,IZ-A,6,123,241,1
bc,t,fs,IZ-A,7,123,241,1
bc,t,fs,IZ-A,8,123,241,1
bc,t,fs,IZ-A,9,123,242,1
bc,t,fs,IZ-B,0,124,243,2
bc,t,fs,IZ-B,1,122,242,0
bc,t,fs,IZ-B,10,124,244,2
bc,t,fs,IZ-B,2,122,242,0
bc,t,fs,IZ-B,3,124,243,2
bc,t,fs,IZ-B,4,122,242,0
bc,t,fs,IZ-B,5,124,245,2
bc,t,fs,IZ-B,6,126,244,4
bc,t,fs,IZ-B,7,123,241,1
bc,t,fs,IZ-B,8,125,244,3
bc,t,fs,IZ-B,9,122,242,0
bc,t,fs,IZ-C,0,123,241,1
bc,t,fs,IZ-C,1,124,242,2
bc,t,fs,IZ-C,10,122,241,0
bc,t,fs,IZ-C,2,123,241,1
bc,t,fs,IZ-C,3,124,243,2
bc,t,fs,IZ-C,4,122,241,0
bc,t,fs,IZ-C,5,123,241,1
bc,t,fs,IZ-C,6,124,242,2
bc,t,fs,IZ-C,7,122,240,0
bc,t,fs,IZ-C,8,122,241,0
bc,t,fs,IZ-C,9,123,241,1
bc,t,fs,IZ-D,0,123,483,1
bc,t,fs,IZ-D,1,124,484,2
bc,t,fs,IZ-D,10,122,482,0
bc,t,fs,IZ-D,2,124,484,2
bc,t,fs,IZ-D,3,125,484,3
bc,t,fs,IZ-D,4,123,484,1
bc,t,fs,IZ-D,5,126,486,4
bc,t,fs,IZ-D,6,126,484,4
bc,t,fs,IZ-D,7,123,482,1
bc,t,fs,IZ-D,8,124,487,2
bc,t,fs,IZ-D,9,123,482,1
bc,t,fs,IZ-E,0,122,242,0
bc,t,fs,IZ-E,1,123,241,1
bc,t,fs,IZ-E,10,122,244,0
bc,t,fs,IZ-E,2,125,246,3
bc,t,fs,IZ-E,3,125,244,3
bc,t,fs,IZ-E,4,123,241,1
bc,t,fs,IZ-E,5,124,243,2
bc,t,fs,IZ-E,6,124,242,2
bc,t,fs,IZ-E,7,123,244,1
bc,t,fs,IZ-E,8,126,246,4
bc,t,fs,IZ-E,9,122,242,0
bc,t,fs,IZ-F,0,122,484,0
bc,t,fs,IZ-F,1,123,482,1
bc,t,fs,IZ-F,10,124,489,2
bc,t,fs,IZ-F,2,127,490,5
bc,t,fs,IZ-F,3,125,485,3
bc,t,fs,IZ-F,4,125,486,3
bc,t,fs,IZ-F,5,124,484,2
bc,t,fs,IZ-F,6,125,485,3
bc,t,fs,IZ-F,7,124,486,2
bc,t,fs,IZ-F,8,126,488,4
bc,t,fs,IZ-F,9,123,487,1
bc,t,fs,IZ-G,0,124,244,2
bc,t,fs,IZ-G,1,123,241,1
bc,t,fs,IZ-G,10,126,246,4
bc,t,fs,IZ-G,2,125,243,3
bc,t,fs,IZ-G,3,125,244,3
bc,t,fs,IZ-G,4,127,247,5
bc,t,fs,IZ-G,5,122,241,0
bc,t,fs,IZ-G,6,122,241,0
bc,t,fs,IZ-G,7,123,243,1
bc,t,fs,IZ-G,8,123,242,1
bc,t,fs,IZ-G,9,122,241,0
bc,t,fs,IZ-H,0,125,486,3
bc,t,fs,IZ-H,1,128,486,6
bc,t,fs,IZ-H,10,126,486,4
bc,t,fs,IZ-H,2,125,483,3
bc,t,fs,IZ-H,3,127,486,5
bc,t,fs,IZ-H,4,127,489,5
bc,t,fs,IZ-H,5,124,483,2
bc,t,fs,IZ-H,6,124,483,2
bc,t,fs,IZ-H,7,125,486,3
bc,t,fs,IZ-H,8,124,484,2
bc,t,fs,IZ-H,9,123,483,1
bc,t,v,IZ-A,0,123,242,1
bc,t,v,IZ-A,1,123,242,1
bc,t,v,IZ-A,10,122,240,0
bc,t,v,IZ-A,2,122,240,0
bc,t,v,IZ-A,3,123,243,1
bc,t,v,IZ-A,4,123,241,1
bc,t,v,IZ-A,5,123,241,1
bc,t,v,IZ-A,6,123,241,1
bc,t,v,IZ-A,7,122,241,0
bc,t,v,IZ-A,8,122,242,0
bc,t,v,IZ-A,9,122,242,0
bc,t,v,IZ-B,0,123,482,1
bc,t,v,IZ-B,1,125,485,3
bc,t,v,IZ-B,10,123,481,1
bc,t,v,IZ-B,2,124,482,2
bc,t,v,IZ-B,3,124,485,2
bc,t,v,IZ-B,4,124,482,2
bc,t,v,IZ-B,5,123,481,1
bc,t,v,IZ-B,6,123,481,1
bc,t,v,IZ-B,7,123,482,1
bc,t,v,IZ-B,8,123,485,1
bc,t,v,IZ-B,9,123,484,1
bc,t,v,IZ-C,0,124,243,2
bc,t,v,IZ-C,1,123,242,1
bc,t,v,IZ-C,10,125,244,3
bc,t,v,IZ-C,2,123,242,1
bc,t,v,IZ-C,3,122,241,0
bc,t,v,IZ-C,4,123,241,1
bc,t,v,IZ-C,5,124,242,2
bc,t,v,IZ-C,6,125,243,3
bc,t,v,IZ-C,7,123,242,1
bc,t,v,IZ-C,8,123,242,1
bc,t,v,IZ-C,9,124,242,2
bc,t,v,IZ-D,0,125,485,3
bc,t,v,IZ-D,1,124,483,2
bc,t,v,IZ-D,10,127,487,5
bc,t,v,IZ-D,2,123,482,1
bc,t,v,IZ-D,3,122,482,0
bc,t,v,IZ-D,4,125,483,3
bc,t,v,IZ-D,5,124,482,2
bc,t,v,IZ-D,6,125,484,3
bc,t,v,IZ-D,7,123,482,1
bc,t,v,IZ-D,8,124,483,2
bc,t,v,IZ-D,9,125,484,3
bc,t,v,IZ-E,0,122,241,0
bc,t,v,IZ-E,1,122,242,0
bc,t,v,IZ-E,10,123,244,1
bc,t,v,IZ-E,2,122,241,0
bc,t,v,IZ-E,3,123,244,1
bc,t,v,IZ-E,4,122,242,0
bc,t,v,IZ-E,5,125,245,3
bc,t,v,IZ-E,6,122,241,0
bc,t,v,IZ-E,7,122,242,0
bc,t,v,IZ-E,8,124,246,2
bc,t,v,IZ-E,9,122,242,0
bc,t,v,IZ-F,0,122,480,0
bc,t,v,IZ-F,1,124,490,2
bc,t,v,IZ-F,10,124,488,2
bc,t,v,IZ-F,2,123,485,1
bc,t,v,IZ-F,3,124,486,2
bc,t,v,IZ-F,4,124,484,2
bc,t,v,IZ-F,5,126,486,4
bc,t,v,IZ-F,6,125,488,3
bc,t,v,IZ-F,7,124,484,2
bc,t,v,IZ-F,8,125,487,3
bc,t,v,IZ-F,9,126,487,4
bc,t,v,IZ-G,0,124,244,2
bc,t,v,IZ-G,1,126,246,4
bc,t,v,IZ-G,10,123,241,1
bc,t,v,IZ-G,2,123,243,1
bc,t,v,IZ-G,3,124,243,2
bc,t,v,IZ-G,4,123,244,1
bc,t,v,IZ-G,5,124,244,2
bc,t,v,IZ-G,6,128,248,6
bc,t,v,IZ-G,7,123,241,1
bc,t,v,IZ-G,8,123,245,1
bc,t,v,IZ-G,9,124,243,2
bc,t,v,IZ-H,0,125,485,3
bc,t,v,IZ-H,1,126,488,4
bc,t,v,IZ-H,10,125,485,3
bc,t,v,IZ-H,2,123,484,1
bc,t,v,IZ-H,3,125,485,3
bc,t,v,IZ-H,4,125,488,3
bc,t,v,IZ-H,5,129,491,7
bc,t,v,IZ-H,6,129,489,7
bc,t,v,IZ-H,7,124,484,2
bc,t,v,IZ-H,8,125,488,3
bc,t,v,IZ-H,9,128,489,6
iris,ss,fs,IZ-A,0,20,51,1
iris,ss,fs,IZ-A,1,19,49,0
iris,ss,fs,IZ-A,10,19,49,0
iris,ss,fs,IZ-A,2,20,49,0
iris,ss,fs,IZ-A,3,19,49,0
iris,ss,fs,IZ-A,4,19,48,0
iris,ss,fs,IZ-A,5,19,48,0
iris,ss,fs,IZ-A,6,19,49,0
iris,ss,fs,IZ-A,7,19,49,0
iris,ss,fs,IZ-A,8,20,49,1
iris,ss,fs,IZ-A,9,19,48,0
iris,ss,fs,IZ-B,0,19,48,0
iris,ss,fs,IZ-B,1,19,49,0
iris,ss,fs,IZ-B,10,19,49,0
iris,ss,fs,IZ-B,2,20,51,0
iris,ss,fs,IZ-B,3,19,50,0
iris,ss,fs,IZ-B,4,20,49,0
iris,ss,fs,IZ-B,5,19,52,0
iris,ss,fs,IZ-B,6,19,50,0
iris,ss,fs,IZ-B,7,19,49,0
iris,ss,fs,IZ-B,8,19,48,0
iris,ss,fs,IZ-B,9,19,49,0
iris,ss,fs,IZ-C,0,21,52,2
iris,ss,fs,IZ-C,1,21,50,1
iris,ss,fs,IZ-C,10,22,51,3
iris,ss,fs,IZ-C,2,21,51,2
iris,ss,fs,IZ-C,3,21,50,2
iris,ss,fs,IZ-C,4,21,50,2
iris,ss,fs,IZ-C,5,21,50,2
iris,ss,fs,IZ-C,6,20,52,1
iris,ss,fs,IZ-C,7,21,50,2
iris,ss,fs,IZ-C,8,20,49,1
iris,ss,fs,IZ-C,9,21,49,2
iris,ss,fs,IZ-D,0,19,49,0
iris,ss,fs,IZ-D,1,21,50,2
iris,ss,fs,IZ-D,10,21,50,2
iris,ss,fs,IZ-D,2,21,50,2
iris,ss,fs,IZ-D,3,20,50,1
iris,ss,fs,IZ-D,4,21,50,2
iris,ss,fs,IZ-D,5,20,49,1
iris,ss,fs,IZ-D,6,20,50,1
iris,ss,fs,IZ-D,7,20,51,0
iris,ss,fs,IZ-D,8,21,50,2
iris,ss,fs,IZ-D,9,21,51,2
iris,ss,fs,IZ-E,0,19,53,0
iris,ss,fs,IZ-E,1,22,52,2
iris,ss,fs,IZ-E,10,19,52,0
iris,ss,fs,IZ-E,2,19,49,0
iris,ss,fs,IZ-E,3,20,53,0
iris,ss,fs,IZ-E,4,20,50,1
iris,ss,fs,IZ-E,5,20,51,1
iris,ss,fs,IZ-E,6,20,51,1
iris,ss,fs,IZ-E,7,20,49,1
iris,ss,fs,IZ-E,8,20,49,0
iris,ss,fs,IZ-E,9,19,50,0
iris,ss,fs,IZ-F,0,21,51,1
iris,ss,fs,IZ-F,1,20,54,1
iris,ss,fs,IZ-F,10,20,49,1
iris,ss,fs,IZ-F,2,22,52,3
iris,ss,fs,IZ-F,3,22,53,3
iris,ss,fs,IZ-F,4,21,52,2
iris,ss,fs,IZ-F,5,20,49,1
iris,ss,fs,IZ-F,6,22,52,3
iris,ss,fs,IZ-F,7,21,52,2
iris,ss,fs,IZ-F,8,21,51,2
iris,ss,fs,IZ-F,9,20,50,1
iris,ss,fs,IZ-G,0,19,49,0
iris,ss,fs,IZ-G,1,20,49,0
iris,ss,fs,IZ-G,10,22,51,3
iris,ss,fs,IZ-G,2,20,50,1
iris,ss,fs,IZ-G,3,20,50,0
iris,ss,fs,IZ-G,4,19,48,0
iris,ss,fs,IZ-G,5,20,49,1
iris,ss,fs,IZ-G,6,20,50,1
iris,ss,fs,IZ-G,7,20,50,0
iris,ss,fs,IZ-G,8,20,50,0
iris,ss,fs,IZ-G,9,19,49,0
iris,ss,fs,IZ-H,0,22,52,3
iris,ss,fs,IZ-H,1,21,51,1
iris,ss,fs,IZ-H,10,20,51,1
iris,ss,fs,IZ-H,2,22,52,3
iris,ss,fs,IZ-H,3,21,50,2
iris,ss,fs,IZ-H,4,22,51,2
iris,ss,fs,IZ-H,5,22,54,3
iris,ss,fs,IZ-H,6,20,50,1
iris,ss,fs,IZ-H,7,21,51,2
iris,ss,fs,IZ-H,8,20,49,1
iris,ss,fs,IZ-H,9,23,52,4
iris,ss,v,IZ-A,0,22,52,3
iris,ss,v,IZ-A,1,21,52,1
iris,ss,v,IZ-A,10,20,52,1
iris,ss,v,IZ-A,2,20,51,1
iris,ss,v,IZ-A,3,21,52,1
iris,ss,v,IZ-A,4,21,52,2
iris,ss,v,IZ-A,5,21,51,2
iris,ss,v,IZ-A,6,21,50,2
iris,ss,v,IZ-A,7,20,50,1
iris,ss,v,IZ-A,8,22,52,3
iris,ss,v,IZ-A,9,20,51,1
iris,ss,v,IZ-B,0,21,52,1
iris,ss,v,IZ-B,1,19,51,0
iris,ss,v,IZ-B,10,19,50,0
iris,ss,v,IZ-B,2,19,49,0
iris,ss,v,IZ-B,3,20,51,1
iris,ss,v,IZ-B,4,20,49,0
iris,ss,v,IZ-B,5,20,53,1
iris,ss,v,IZ-B,6,20,49,0
iris,ss,v,IZ-B,7,20,49,0
iris,ss,v,IZ-B,8,19,49,0
iris,ss,v,IZ-B,9,19,49,0
iris,ss,v,IZ-C,0,20,51,1
iris,ss,v,IZ-C,1,19,48,0
iris,ss,v,IZ-C,10,19,48,0
iris,ss,v,IZ-C,2,20,51,0
iris,ss,v,IZ-C,3,22,52,3
iris,ss,v,IZ-C,4,19,50,0
iris,ss,v,IZ-C,5,19,49,0
iris,ss,v,IZ-C,6,19,50,0
iris,ss,v,IZ-C,7,19,51,0
iris,ss,v,IZ-C,8,20,51,1
iris,ss,v,IZ-C,9,20,51,0
iris,ss,v,IZ-D,0,20,49,1
iris,ss,v,IZ-D,1,22,51,2
iris,ss,v,IZ-D,10,21,52,2
iris,ss,v,IZ-D,2,20,50,1
iris,ss,v,IZ-D,3,22,52,2
iris,ss,v,IZ-D,4,23,52,4
iris,ss,v,IZ-D,5,21,52,2
iris,ss,v,IZ-D,6,22,52,3
iris,ss,v,IZ-D,7,20,49,1
iris,ss,v,IZ-D,8,21,52,1
iris,ss,v,IZ-D,9,20,49,1
iris,ss,v,IZ-E,0,20,51,1
iris,ss,v,IZ-E,1,20,51,1
iris,ss,v,IZ-E,10,21,50,2
iris,ss,v,IZ-E,2,23,52,4
iris,ss,v,IZ-E,3,21,51,2
iris,ss,v,IZ-E,4,20,50,1
iris,ss,v,IZ-E,5,20,50,1
iris,ss,v,IZ-E,6,20,57,0
iris,ss,v,IZ-E,7,20,55,0
iris,ss,v,IZ-E,8,23,53,3
iris,ss,v,IZ-E,9,22,52,3
iris,ss,v,IZ-F,0,21,53,2
iris,ss,v,IZ-F,1,20,52,0
iris,ss,v,IZ-F,10,20,52,0
iris,ss,v,IZ-F,2,20,50,1
iris,ss,v,IZ-F,3,20,53,1
iris,ss,v,IZ-F,4,20,50,1
iris,ss,v,IZ-F,5,20,49,1
iris,ss,v,IZ-F,6,20,52,1
iris,ss,v,IZ-F,7,20,52,1
iris,ss,v,IZ-F,8,20,51,1
iris,ss,v,IZ-F,9,20,50,1
iris,ss,v,IZ-G,0,21,53,2
iris,ss,v,IZ-G,1,21,51,2
iris,ss,v,IZ-G,10,20,49,1
iris,ss,v,IZ-G,2,21,50,2
iris,ss,v,IZ-G,3,20,50,1
iris,ss,v,IZ-G,4,21,50,1
iris,ss,v,IZ-G,5,21,50,2
iris,ss,v,IZ-G,6,22,51,3
iris,ss,v,IZ-G,7,20,51,1
iris,ss,v,IZ-G,8,23,52,4
iris,ss,v,IZ-G,9,22,51,3
iris,ss,v,IZ-H,0,21,51,2
iris,ss,v,IZ-H,1,23,52,4
iris,ss,v,IZ-H,10,23,53,4
iris,ss,v,IZ-H,2,21,50,2
iris,ss,v,IZ-H,3,22,53,3
iris,ss,v,IZ-H,4,24,54,4
iris,ss,v,IZ-H,5,20,50,1
iris,ss,v,IZ-H,6,24,53,4
iris,ss,v,IZ-H,7,20,50,1
iris,ss,v,IZ-H,8,21,52,2
iris,ss,v,IZ-H,9,22,51,3
iris,t,fs,IZ-A,0,22,52,3
iris,t,fs,IZ-A,1,20,51,1
