dataset,encoder,decoder,model,run,nodes,connections,hidden
iris,t,fs,IZ-A,10,20,50,1
iris,t,fs,IZ-A,2,23,53,3
iris,t,fs,IZ-A,3,20,50,1
iris,t,fs,IZ-A,4,20,50,1
iris,t,fs,IZ-A,5,22,52,3
iris,t,fs,IZ-A,6,21,51,2
iris,t,fs,IZ-A,7,21,51,2
iris,t,fs,IZ-A,8,20,49,1
iris,t,fs,IZ-A,9,22,52,3
iris,t,fs,IZ-B,0,22,51,3
iris,t,fs,IZ-B,1,22,51,2
iris,t,fs,IZ-B,10,21,49,2
iris,t,fs,IZ-B,2,20,51,1
iris,t,fs,IZ-B,3,21,52,2
iris,t,fs,IZ-B,4,21,52,2
iris,t,fs,IZ-B,5,20,50,1
iris,t,fs,IZ-B,6,22,51,3
iris,t,fs,IZ-B,7,20,51,1
iris,t,fs,IZ-B,8,20,51,1
iris,t,fs,IZ-B,9,20,51,1
iris,t,fs,IZ-C,0,22,51,3
iris,t,fs,IZ-C,1,20,50,1
iris,t,fs,IZ-C,10,22,56,3
iris,t,fs,IZ-C,2,19,52,0
iris,t,fs,IZ-C,3,21,55,2
iris,t,fs,IZ-C,4,21,52,2
iris,t,fs,IZ-C,5,20,50,1
iris,t,fs,IZ-C,6,20,52,0
iris,t,fs,IZ-C,7,20,50,1
iris,t,fs,IZ-C,8,20,52,0
iris,t,fs,IZ-C,9,21,52,1
iris,t,fs,IZ-D,0,23,52,4
iris,t,fs,IZ-D,1,22,53,3
iris,t,fs,IZ-D,10,20,50,1
iris,t,fs,IZ-D,2,20,50,1
iris,t,fs,IZ-D,3,20,50,1
iris,t,fs,IZ-D,4,20,51,1
iris,t,fs,IZ-D,5,20,52,1
iris,t,fs,IZ-D,6,22,54,2
iris,t,fs,IZ-D,7,20,49,0
iris,t,fs,IZ-D,8,20,51,1
iris,t,fs,IZ-D,9,21,50,2
iris,t,fs,IZ-E,0,21,50,2
iris,t,fs,IZ-E,1,21,51,2
iris,t,fs,IZ-E,10,20,49,1
iris,t,fs,IZ-E,2,20,51,1
iris,t,fs,IZ-E,3,21,51,2
iris,t,fs,IZ-E,4,19,50,0
iris,t,fs,IZ-E,5,20,52,1
iris,t,fs,IZ-E,6,23,54,3
iris,t,fs,IZ-E,7,20,51,1
iris,t,fs,IZ-E,8,19,48,0
iris,t,fs,IZ-E,9,23,52,4
iris,t,fs,IZ-F,0,20,48,1
iris,t,fs,IZ-F,1,21,50,1
iris,t,fs,IZ-F,10,19,51,0
iris,t,fs,IZ-F,2,20,49,1
iris,t,fs,IZ-F,3,20,53,1
iris,t,fs,IZ-F,4,20,50,1
iris,t,fs,IZ-F,5,22,52,3
iris,t,fs,IZ-F,6,21,50,2
iris,t,fs,IZ-F,7,20,51,1
iris,t,fs,IZ-F,8,21,51,2
iris,t,fs,IZ-F,9,22,51,3
iris,t,fs,IZ-G,0,21,52,2
iris,t,fs,IZ-G,1,20,50,1
iris,t,fs,IZ-G,10,21,51,2
iris,t,fs,IZ-G,2,21,51,2
iris,t,fs,IZ-G,3,20,49,1
iris,t,fs,IZ-G,4,21,51,2
iris,t,fs,IZ-G,5,21,49,2
iris,t,fs,IZ-G,6,21,52,2
iris,t,fs,IZ-G,7,23,52,4
iris,t,fs,IZ-G,8,23,54,4
iris,t,fs,IZ-G,9,22,51,3
iris,t,fs,IZ-H,0,21,51,2
iris,t,fs,IZ-H,1,24,55,5
iris,t,fs,IZ-H,10,20,50,1
iris,t,fs,IZ-H,2,22,53,2
iris,t,fs,IZ-H,3,20,50,1
iris,t,fs,IZ-H,4,20,53,1
iris,t,fs,IZ-H,5,20,51,1
iris,t,fs,IZ-H,6,21,52,2
iris,t,fs,IZ-H,7,21,51,1
iris,t,fs,IZ-H,8,20,50,1
iris,t,fs,IZ-H,9,20,51,0
iris,t,v,IZ-A,0,20,51,0
iris,t,v,IZ-A,1,20,52,0
iris,t,v,IZ-A,10,20,51,0
iris,t,v,IZ-A,2,21,51,1
iris,t,v,IZ-A,3,20,52,1
iris,t,v,IZ-A,4,19,53,0
iris,t,v,IZ-A,5,21,56,1
iris,t,v,IZ-A,6,20,50,0
iris,t,v,IZ-A,7,20,54,0
iris,t,v,IZ-A,8,20,53,0
iris,t,v,IZ-A,9,21,53,1
iris,t,v,IZ-B,0,20,49,1
iris,t,v,IZ-B,1,21,52,1
iris,t,v,IZ-B,10,20,51,1
iris,t,v,IZ-B,2,20,51,1
iris,t,v,IZ-B,3,21,50,2
iris,t,v,IZ-B,4,21,51,2
iris,t,v,IZ-B,5,22,53,2
iris,t,v,IZ-B,6,20,49,1
iris,t,v,IZ-B,7,21,50,2
iris,t,v,IZ-B,8,20,52,1
iris,t,v,IZ-B,9,22,52,3
iris,t,v,IZ-C,0,21,52,1
iris,t,v,IZ-C,1,20,51,1
iris,t,v,IZ-C,10,21,50,2
iris,t,v,IZ-C,2,21,50,2
iris,t,v,IZ-C,3,21,51,2
iris,t,v,IZ-C,4,20,49,1
iris,t,v,IZ-C,5,20,54,1
iris,t,v,IZ-C,6,19,52,0
iris,t,v,IZ-C,7,23,52,4
iris,t,v,IZ-C,8,21,51,2
iris,t,v,IZ-C,9,21,51,2
iris,t,v,IZ-D,0,23,54,4
iris,t,v,IZ-D,1,22,53,3
iris,t,v,IZ-D,10,21,52,2
iris,t,v,IZ-D,2,20,51,1
iris,t,v,IZ-D,3,20,56,0
iris,t,v,IZ-D,4,20,53,0
iris,t,v,IZ-D,5,20,50,1
iris,t,v,IZ-D,6,20,52,1
iris,t,v,IZ-D,7,21,54,1
iris,t,v,IZ-D,8,22,52,3
iris,t,v,IZ-D,9,20,55,0
iris,t,v,IZ-E,0,22,53,3
iris,t,v,IZ-E,1,21,51,2
iris,t,v,IZ-E,10,21,52,2
iris,t,v,IZ-E,2,20,51,1
iris,t,v,IZ-E,3,20,50,1
iris,t,v,IZ-E,4,20,51,1
iris,t,v,IZ-E,5,21,54,2
iris,t,v,IZ-E,6,22,53,3
iris,t,v,IZ-E,7,20,51,1
iris,t,v,IZ-E,8,23,55,3
iris,t,v,IZ-E,9,21,51,2
iris,t,v,IZ-F,0,22,53,2
iris,t,v,IZ-F,1,20,52,1
iris,t,v,IZ-F,10,20,50,1
iris,t,v,IZ-F,2,24,55,4
iris,t,v,IZ-F,3,22,51,2
iris,t,v,IZ-F,4,20,52,1
iris,t,v,IZ-F,5,23,54,4
iris,t,v,IZ-F,6,21,56,1
iris,t,v,IZ-F,7,20,51,1
iris,t,v,IZ-F,8,21,53,2
iris,t,v,IZ-F,9,20,49,1
iris,t,v,IZ-G,0,23,52,4
iris,t,v,IZ-G,1,20,50,1
iris,t,v,IZ-G,10,23,51,4
iris,t,v,IZ-G,2,20,48,1
iris,t,v,IZ-G,3,20,50,1
iris,t,v,IZ-G,4,23,53,4
iris,t,v,IZ-G,5,20,52,1
iris,t,v,IZ-G,6,24,55,5
iris,t,v,IZ-G,7,24,54,5
iris,t,v,IZ-G,8,22,53,2
iris,t,v,IZ-G,9,21,51,2
iris,t,v,IZ-H,0,19,52,0
iris,t,v,IZ-H,1,20,51,1
iris,t,v,IZ-H,10,21,56,1
iris,t,v,IZ-H,2,23,54,4
iris,t,v,IZ-H,3,20,55,1
iris,t,v,IZ-H,4,19,51,0
iris,t,v,IZ-H,5,22,52,3
iris,t,v,IZ-H,6,19,52,0
iris,t,v,IZ-H,7,19,55,0
iris,t,v,IZ-H,8,22,51,3
iris,t,v,IZ-H,9,20,52,0
wine,ss,fs,IZ-A,0,56,313,1
wine,ss,fs,IZ-A,1,58,159,3
wine,ss,fs,IZ-A,10,55,156,0
wine,ss,fs,IZ-A,2,56,160,0
wine,ss,fs,IZ-A,3,57,160,2
wine,ss,fs,IZ-A,4,57,161,2
wine,ss,fs,IZ-A,5,56,160,1
wine,ss,fs,IZ-A,6,55,159,0
wine,ss,fs,IZ-A,7,57,158,2
wine,ss,fs,IZ-A,8,56,157,1
wine,ss,fs,IZ-A,9,56,158,1
wine,ss,fs,IZ-B,0,55,157,0
wine,ss,fs,IZ-B,1,55,156,0
wine,ss,fs,IZ-B,10,55,157,0
wine,ss,fs,IZ-B,2,58,161,3
wine,ss,fs,IZ-B,3,55,156,0
wine,ss,fs,IZ-B,4,57,160,2
wine,ss,fs,IZ-B,5,56,158,1
wine,ss,fs,IZ-B,6,55,157,0
wine,ss,fs,IZ-B,7,56,157,0
wine,ss,fs,IZ-B,8,55,157,0
wine,ss,fs,IZ-B,9,56,158,1
wine,ss,fs,IZ-C,0,55,157,0
wine,ss,fs,IZ-C,1,56,160,1
wine,ss,fs,IZ-C,10,57,159,2
wine,ss,fs,IZ-C,2,57,161,2
wine,ss,fs,IZ-C,3,56,158,1
wine,ss,fs,IZ-C,4,57,160,2
wine,ss,fs,IZ-C,5,55,158,0
wine,ss,fs,IZ-C,6,56,159,1
wine,ss,fs,IZ-C,7,55,156,0
wine,ss,fs,IZ-C,8,57,159,2
wine,ss,fs,IZ-C,9,55,156,0
wine,ss,fs,IZ-D,0,56,159,1
wine,ss,fs,IZ-D,1,57,159,2
wine,ss,fs,IZ-D,10,58,160,2
wine,ss,fs,IZ-D,2,55,157,0
wine,ss,fs,IZ-D,3,57,159,2
wine,ss,fs,IZ-D,4,55,157,0
wine,ss,fs,IZ-D,5,57,159,2
wine,ss,fs,IZ-D,6,55,156,0
wine,ss,fs,IZ-D,7,57,159,2
wine,ss,fs,IZ-D,8,60,162,5
wine,ss,fs,IZ-D,9,58,164,2
wine,ss,fs,IZ-E,0,57,158,2
wine,ss,fs,IZ-E,1,55,156,0
wine,ss,fs,IZ-E,10,56,157,1
wine,ss,fs,IZ-E,2,57,158,2
wine,ss,fs,IZ-E,3,55,157,0
wine,ss,fs,IZ-E,4,56,159,1
wine,ss,fs,IZ-E,5,56,160,0
wine,ss,fs,IZ-E,6,59,161,4
wine,ss,fs,IZ-E,7,56,157,1
wine,ss,fs,IZ-E,8,55,156,0
wine,ss,fs,IZ-E,9,55,157,0
wine,ss,fs,IZ-F,0,59,162,4
wine,ss,fs,IZ-F,1,56,157,1
wine,ss,fs,IZ-F,10,56,158,0
wine,ss,fs,IZ-F,2,57,159,2
wine,ss,fs,IZ-F,3,55,157,0
wine,ss,fs,IZ-F,4,55,159,0
wine,ss,fs,IZ-F,5,56,160,1
wine,ss,fs,IZ-F,6,56,159,1
wine,ss,fs,IZ-F,7,56,160,0
wine,ss,fs,IZ-F,8,58,162,2
wine,ss,fs,IZ-F,9,55,159,0
wine,ss,fs,IZ-G,0,59,161,4
wine,ss,fs,IZ-G,1,59,161,4
wine,ss,fs,IZ-G,10,56,159,1
wine,ss,fs,IZ-G,2,55,159,0
wine,ss,fs,IZ-G,3,56,158,1
wine,ss,fs,IZ-G,4,55,156,0
wine,ss,fs,IZ-G,5,57,158,2
wine,ss,fs,IZ-G,6,59,160,3
wine,ss,fs,IZ-G,7,55,157,0
wine,ss,fs,IZ-G,8,56,159,0
wine,ss,fs,IZ-G,9,55,156,0
wine,ss,fs,IZ-H,0,56,157,1
wine,ss,fs,IZ-H,1,56,157,1
wine,ss,fs,IZ-H,10,57,159,2
wine,ss,fs,IZ-H,2,58,163,3
wine,ss,fs,IZ-H,3,55,160,0
wine,ss,fs,IZ-H,4,58,162,3
wine,ss,fs,IZ-H,5,57,159,2
wine,ss,fs,IZ-H,6,56,157,1
wine,ss,fs,IZ-H,7,57,161,2
wine,ss,fs,IZ-H,8,56,158,1
wine,ss,fs,IZ-H,9,57,158,2
wine,ss,v,IZ-A,0,56,160,1
wine,ss,v,IZ-A,1,56,159,1
wine,ss,v,IZ-A,10,58,160,3
wine,ss,v,IZ-A,2,56,158,1
wine,ss,v,IZ-A,3,55,158,0
wine,ss,v,IZ-A,4,57,160,2
wine,ss,v,IZ-A,5,57,159,2
wine,ss,v,IZ-A,6,56,158,1
wine,ss,v,IZ-A,7,58,159,3
wine,ss,v,IZ-A,8,58,159,3
wine,ss,v,IZ-A,9,58,159,3
wine,ss,v,IZ-B,0,55,159,0
wine,ss,v,IZ-B,1,55,157,0
wine,ss,v,IZ-B,10,56,159,1
wine,ss,v,IZ-B,2,55,158,0
wine,ss,v,IZ-B,3,58,159,3
wine,ss,v,IZ-B,4,56,158,1
wine,ss,v,IZ-B,5,55,156,0
wine,ss,v,IZ-B,6,58,163,3
wine,ss,v,IZ-B,7,55,160,0
wine,ss,v,IZ-B,8,56,158,1
wine,ss,v,IZ-B,9,55,157,0
wine,ss,v,IZ-C,0,56,159,1
wine,ss,v,IZ-C,1,57,159,2
wine,ss,v,IZ-C,10,56,160,1
wine,ss,v,IZ-C,2,58,161,3
wine,ss,v,IZ-C,3,56,157,1
wine,ss,v,IZ-C,4,56,158,1
wine,ss,v,IZ-C,5,56,158,1
wine,ss,v,IZ-C,6,56,156,1
wine,ss,v,IZ-C,7,56,157,1
wine,ss,v,IZ-C,8,56,157,1
wine,ss,v,IZ-C,9,57,158,2
wine,ss,v,IZ-D,0,57,161,2
wine,ss,v,IZ-D,1,55,158,0
wine,ss,v,IZ-D,10,56,159,1
wine,ss,v,IZ-D,2,55,156,0
wine,ss,v,IZ-D,3,56,158,1
wine,ss,v,IZ-D,4,57,159,2
wine,ss,v,IZ-D,5,57,158,2
wine,ss,v,IZ-D,6,59,161,4
wine,ss,v,IZ-D,7,56,157,1
wine,ss,v,IZ-D,8,56,157,1
wine,ss,v,IZ-D,9,55,157,0
wine,ss,v,IZ-E,0,56,157,1
wine,ss,v,IZ-E,1,59,160,4
wine,ss,v,IZ-E,10,56,158,1
wine,ss,v,IZ-E,2,59,162,4
wine,ss,v,IZ-E,3,57,158,2
wine,ss,v,IZ-E,4,55,156,0
wine,ss,v,IZ-E,5,56,157,1
wine,ss,v,IZ-E,6,57,158,2
wine,ss,v,IZ-E,7,55,157,0
wine,ss,v,IZ-E,8,59,161,4
wine,ss,v,IZ-E,9,56,156,1
wine,ss,v,IZ-F,0,56,159,1
wine,ss,v,IZ-F,1,56,158,1
wine,ss,v,IZ-F,10,55,156,0
wine,ss,v,IZ-F,2,56,159,1
wine,ss,v,IZ-F,3,55,156,0
wine,ss,v,IZ-F,4,55,158,0
wine,ss,v,IZ-F,5,55,156,0
wine,ss,v,IZ-F,6,56,158,1
wine,ss,v,IZ-F,7,57,160,2
wine,ss,v,IZ-F,8,56,157,1
wine,ss,v,IZ-F,9,55,158,0
wine,ss,v,IZ-G,0,56,157,1
wine,ss,v,IZ-G,1,61,162,6
wine,ss,v,IZ-G,10,55,156,0
wine,ss,v,IZ-G,2,57,159,2
wine,ss,v,IZ-G,3,55,157,0
wine,ss,v,IZ-G,4,55,156,0
wine,ss,v,IZ-G,5,58,160,3
wine,ss,v,IZ-G,6,57,158,2
wine,ss,v,IZ-G,7,59,160,4
wine,ss,v,IZ-G,8,55,156,0
wine,ss,v,IZ-G,9,56,157,1
wine,ss,v,IZ-H,0,58,159,3
wine,ss,v,IZ-H,1,56,157,1
wine,ss,v,IZ-H,10,55,159,0
wine,ss,v,IZ-H,2,55,157,0
wine,ss,v,IZ-H,3,55,157,0
wine,ss,v,IZ-H,4,55,158,0
wine,ss,v,IZ-H,5,56,159,1
wine,ss,v,IZ-H,6,57,160,2
wine,ss,v,IZ-H,7,55,159,0
wine,ss,v,IZ-H,8,55,157,0
wine,ss,v,IZ-H,9,55,158,0
wine,t,fs,IZ-A,0,56,158,1
wine,t,fs,IZ-A,1,56,158,1
wine,t,fs,IZ-A,10,55,157,0
wine,t,fs,IZ-A,2,56,157,1
wine,t,fs,IZ-A,3,56,158,1
wine,t,fs,IZ-A,4,56,157,1
wine,t,fs,IZ-A,5,55,156,0
wine,t,fs,IZ-A,6,55,157,0
wine,t,fs,IZ-A,7,56,158,1
wine,t,fs,IZ-A,8,58,160,3
wine,t,fs,IZ-A,9,58,159,3
wine,t,fs,IZ-B,0,57,158,2
wine,t,fs,IZ-B,1,56,159,1
wine,t,fs,IZ-B,10,55,157,0
wine,t,fs,IZ-B,2,56,159,1
wine,t,fs,IZ-B,3,55,159,0
wine,t,fs,IZ-B,4,57,160,1
wine,t,fs,IZ-B,5,56,161,1
wine,t,fs,IZ-B,6,55,157,0
wine,t,fs,IZ-B,7,57,162,2
wine,t,fs,IZ-B,8,56,157,1
wine,t,fs,IZ-B,9,56,160,1
wine,t,fs,IZ-C,0,61,163,6
wine,t,fs,IZ-C,1,56,157,1
wine,t,fs,IZ-C,10,55,157,0
wine,t,fs,IZ-C,2,55,158,0
wine,t,fs,IZ-C,3,55,156,0
wine,t,fs,IZ-C,4,56,157,1
wine,t,fs,IZ-C,5,57,158,2
wine,t,fs,IZ-C,6,59,161,4
wine,t,fs,IZ-C,7,55,157,0
wine,t,fs,IZ-C,8,55,156,0
wine,t,fs,IZ-C,9,55,156,0
wine,t,fs,IZ-D,0,56,158,1
wine,t,fs,IZ-D,1,55,157,0
wine,t,fs,IZ-D,10,57,160,1
wine,t,fs,IZ-D,2,56,160,1
wine,t,fs,IZ-D,3,56,160,1
wine,t,fs,IZ-D,4,55,159,0
wine,t,fs,IZ-D,5,55,157,0
wine,t,fs,IZ-D,6,57,158,2
wine,t,fs,IZ-D,7,58,159,3
wine,t,fs,IZ-D,8,56,158,1
wine,t,fs,IZ-D,9,56,159,1
wine,t,fs,IZ-E,0,55,158,0
wine,t,fs,IZ-E,1,55,157,0
wine,t,fs,IZ-E,10,58,159,3
wine,t,fs,IZ-E,2,57,161,2
wine,t,fs,IZ-E,3,55,157,0
wine,t,fs,IZ-E,4,55,158,0
wine,t,fs,IZ-E,5,56,162,1
wine,t,fs,IZ-E,6,55,159,0
wine,t,fs,IZ-E,7,57,161,2
wine,t,fs,IZ-E,8,56,162,1
wine,t,fs,IZ-E,9,56,159,1
wine,t,fs,IZ-F,0,55,157,0
wine,t,fs,IZ-F,1,58,160,3
wine,t,fs,IZ-F,10,57,160,2
wine,t,fs,IZ-F,2,56,157,1
wine,t,fs,IZ-F,3,56,158,1
wine,t,fs,IZ-F,4,58,160,3
wine,t,fs,IZ-F,5,56,157,1
wine,t,fs,IZ-F,6,55,157,0
wine,t,fs,IZ-F,7,57,159,2
wine,t,fs,IZ-F,8,55,157,0
wine,t,fs,IZ-F,9,56,159,1
wine,t,fs,IZ-G,0,55,156,0
wine,t,fs,IZ-G,1,56,157,1
wine,t,fs,IZ-G,10,56,158,1
wine,t,fs,IZ-G,2,56,157,1
wine,t,fs,IZ-G,3,58,160,3
wine,t,fs,IZ-G,4,55,156,0
wine,t,fs,IZ-G,5,59,160,4
wine,t,fs,IZ-G,6,56,159,1
wine,t,fs,IZ-G,7,57,160,2
wine,t,fs,IZ-G,8,57,159,1
wine,t,fs,IZ-G,9,57,158,2
wine,t,fs,IZ-H,0,57,162,2
wine,t,fs,IZ-H,1,55,157,0
wine,t,fs,IZ-H,10,56,158,1
wine,t,fs,IZ-H,2,57,160,2
wine,t,fs,IZ-H,3,59,162,4
wine,t,fs,IZ-H,4,55,156,0
wine,t,fs,IZ-H,5,55,161,0
wine,t,fs,IZ-H,6,56,159,1
wine,t,fs,IZ-H,7,57,160,2
wine,t,fs,IZ-H,8,57,160,2
wine,t,fs,IZ-H,9,58,160,3
wine,t,v,IZ-A,0,58,161,3
wine,t,v,IZ-A,1,56,158,0
wine,t,v,IZ-A,10,55,156,0
wine,t,v,IZ-A,2,57,160,2
wine,t,v,IZ-A,3,56,158,1
wine,t,v,IZ-A,4,57,159,2
wine,t,v,IZ-A,5,58,160,3
wine,t,v,IZ-A,6,56,157,1
wine,t,v,IZ-A,7,56,160,1
wine,t,v,IZ-A,8,55,157,0
wine,t,v,IZ-A,9,57,160,2
wine,t,v,IZ-B,0,56,162,1
wine,t,v,IZ-B,1,55,158,0
wine,t,v,IZ-B,10,56,159,1
wine,t,v,IZ-B,2,58,161,2
wine,t,v,IZ-B,3,56,158,1
wine,t,v,IZ-B,4,56,161,1
wine,t,v,IZ-B,5,57,161,2
wine,t,v,IZ-B,6,55,157,0
wine,t,v,IZ-B,7,56,159,1
wine,t,v,IZ-B,8,59,163,4
wine,t,v,IZ-B,9,58,161,3
wine,t,v,IZ-C,0,56,157,1
wine,t,v,IZ-C,1,56,157,1
wine,t,v,IZ-C,10,55,157,0
wine,t,v,IZ-C,2,56,158,1
wine,t,v,IZ-C,3,56,157,1
wine,t,v,IZ-C,4,55,156,0
wine,t,v,IZ-C,5,59,161,4
wine,t,v,IZ-C,6,56,157,1
wine,t,v,IZ-C,7,55,156,0
wine,t,v,IZ-C,8,56,157,1
wine,t,v,IZ-C,9,57,158,1
wine,t,v,IZ-D,0,56,157,1
wine,t,v,IZ-D,1,58,159,3
wine,t,v,IZ-D,10,55,158,0
wine,t,v,IZ-D,2,55,158,0
wine,t,v,IZ-D,3,55,157,0
wine,t,v,IZ-D,4,57,158,2
wine,t,v,IZ-D,5,58,159,3
wine,t,v,IZ-D,6,55,156,0
wine,t,v,IZ-D,7,56,157,1
wine,t,v,IZ-D,8,55,156,0
wine,t,v,IZ-D,9,55,156,0
wine,t,v,IZ-E,0,56,157,1
wine,t,v,IZ-E,1,56,158,1
wine,t,v,IZ-E,10,55,158,0
wine,t,v,IZ-E,2,55,157,0
wine,t,v,IZ-E,3,55,157,0
wine,t,v,IZ-E,4,55,156,0
wine,t,v,IZ-E,5,57,158,2
wine,t,v,IZ-E,6,56,157,1
wine,t,v,IZ-E,7,57,159,2
wine,t,v,IZ-E,8,57,161,2
wine,t,v,IZ-E,9,57,159,2
wine,t,v,IZ-F,0,55,156,0
wine,t,v,IZ-F,1,59,159,3
wine,t,v,IZ-F,10,55,157,0
wine,t,v,IZ-F,2,59,160,3
wine,t,v,IZ-F,3,57,160,1
wine,t,v,IZ-F,4,59,160,4
wine,t,v,IZ-F,5,58,160,3
wine,t,v,IZ-F,6,57,159,2
wine,t,v,IZ-F,7,57,158,2
wine,t,v,IZ-F,8,56,157,1
wine,t,v,IZ-F,9,60,162,5
wine,t,v,IZ-G,0,55,158,0
wine,t,v,IZ-G,1,56,159,1
wine,t,v,IZ-G,10,57,159,2
wine,t,v,IZ-G,2,57,162,2
wine,t,v,IZ-G,3,55,156,0
wine,t,v,IZ-G,4,59,162,4
wine,t,v,IZ-G,5,57,159,2
wine,t,v,IZ-G,6,56,160,1
wine,t,v,IZ-G,7,57,161,2
wine,t,v,IZ-G,8,56,160,1
wine,t,v,IZ-G,9,56,158,1
wine,t,v,IZ-H,0,55,157,0
wine,t,v,IZ-H,1,57,158,2
wine,t,v,IZ-H,10,56,157,1
wine,t,v,IZ-H,2,55,160,0
wine,t,v,IZ-H,3,55,157,0
wine,t,v,IZ-H,4,57,159,2
wine,t,v,IZ-H,5,56,158,1
wine,t,v,IZ-H,6,56,157,1
wine,t,v,IZ-H,7,57,159,2
wine,t,v,IZ-H,8,57,158,2
wine,t,v,IZ-H,9,55,156,0
