problem,model,run,nodes,connections,hidden
acrobot,IZ-A,0,20,59,5
acrobot,IZ-A,1,20,43,5
acrobot,IZ-A,10,20,41,5
acrobot,IZ-A,2,20,41,5
acrobot,IZ-A,3,21,46,5
acrobot,IZ-A,4,18,43,3
acrobot,IZ-A,5,16,39,1
acrobot,IZ-A,6,21,42,5
acrobot,IZ-A,7,19,42,4
acrobot,IZ-A,8,20,42,5
acrobot,IZ-A,9,17,40,2
acrobot,IZ-B,0,15,37,0
acrobot,IZ-B,1,16,38,1
acrobot,IZ-B,10,15,38,0
acrobot,IZ-B,2,15,36,0
acrobot,IZ-B,3,17,39,1
acrobot,IZ-B,4,15,37,0
acrobot,IZ-B,5,15,37,0
acrobot,IZ-B,6,16,38,0
acrobot,IZ-B,7,15,36,0
acrobot,IZ-B,8,16,37,1
acrobot,IZ-B,9,16,39,0
acrobot,IZ-C,0,20,42,5
acrobot,IZ-C,1,22,45,6
acrobot,IZ-C,10,21,46,5
acrobot,IZ-C,2,18,42,3
acrobot,IZ-C,3,16,39,0
acrobot,IZ-C,4,20,43,5
acrobot,IZ-C,5,15,39,0
acrobot,IZ-C,6,19,43,4
acrobot,IZ-C,7,17,40,2
acrobot,IZ-C,8,21,47,6
acrobot,IZ-C,9,20,41,5
acrobot,IZ-D,0,20,42,5
acrobot,IZ-D,1,20,43,5
acrobot,IZ-D,10,23,45,8
acrobot,IZ-D,2,19,40,4
acrobot,IZ-D,3,20,42,5
acrobot,IZ-D,4,20,42,5
acrobot,IZ-D,5,20,41,5
acrobot,IZ-D,6,20,42,5
acrobot,IZ-D,7,21,44,6
acrobot,IZ-D,8,20,41,5
acrobot,IZ-D,9,21,43,6
acrobot,IZ-E,0,17,39,2
acrobot,IZ-E,1,18,40,2
acrobot,IZ-E,10,17,38,2
acrobot,IZ-E,2,17,39,2
acrobot,IZ-E,3,19,42,4
acrobot,IZ-E,4,16,38,0
acrobot,IZ-E,5,16,38,1
acrobot,IZ-E,6,16,38,1
acrobot,IZ-E,7,19,43,4
acrobot,IZ-E,8,15,37,0
acrobot,IZ-E,9,16,37,1
acrobot,IZ-F,0,18,40,3
acrobot,IZ-F,1,18,39,3
acrobot,IZ-F,10,17,38,2
acrobot,IZ-F,2,15,39,0
acrobot,IZ-F,3,15,38,0
acrobot,IZ-F,4,16,39,0
acrobot,IZ-F,5,16,38,1
acrobot,IZ-F,6,21,44,5
acrobot,IZ-F,7,16,39,0
acrobot,IZ-F,8,17,39,2
acrobot,IZ-F,9,18,42,3
acrobot,IZ-G,0,16,38,1
acrobot,IZ-G,1,16,40,0
acrobot,IZ-G,10,16,41,0
acrobot,IZ-G,2,18,42,3
acrobot,IZ-G,3,18,42,3
acrobot,IZ-G,4,18,41,3
acrobot,IZ-G,5,17,38,1
acrobot,IZ-G,6,15,38,0
acrobot,IZ-G,7,17,39,2
acrobot,IZ-G,8,16,38,1
acrobot,IZ-G,9,18,42,2
acrobot,IZ-H,0,15,37,0
acrobot,IZ-H,1,16,37,1
acrobot,IZ-H,10,16,39,1
acrobot,IZ-H,2,15,36,0
acrobot,IZ-H,3,16,38,1
acrobot,IZ-H,4,15,37,0
acrobot,IZ-H,5,15,37,0
acrobot,IZ-H,6,15,36,0
acrobot,IZ-H,7,17,41,2
acrobot,IZ-H,8,15,39,0
acrobot,IZ-H,9,16,38,0
cartpole,IZ-A,0,12,20,1
cartpole,IZ-A,1,11,21,1
cartpole,IZ-A,10,11,18,0
cartpole,IZ-A,2,12,19,1
cartpole,IZ-A,3,11,21,1
cartpole,IZ-A,4,10,22,0
cartpole,IZ-A,5,10,17,0
cartpole,IZ-A,6,11,17,0
cartpole,IZ-A,7,14,21,3
cartpole,IZ-A,8,11,20,0
cartpole,IZ-A,9,13,23,2
cartpole,IZ-B,0,12,23,1
cartpole,IZ-B,1,14,22,4
cartpole,IZ-B,10,16,23,5
cartpole,IZ-B,2,12,20,2
cartpole,IZ-B,3,16,26,5
cartpole,IZ-B,4,12,21,2
cartpole,IZ-B,5,12,21,1
cartpole,IZ-B,6,21,33,11
cartpole,IZ-B,7,13,18,3
cartpole,IZ-B,8,19,28,8
cartpole,IZ-B,9,16,22,6
cartpole,IZ-C,0,12,25,2
cartpole,IZ-C,1,11,20,1
cartpole,IZ-C,10,11,21,0
cartpole,IZ-C,2,11,22,1
cartpole,IZ-C,3,14,23,3
cartpole,IZ-C,4,14,24,3
cartpole,IZ-C,5,10,21,0
cartpole,IZ-C,6,14,24,4
cartpole,IZ-C,7,15,25,4
cartpole,IZ-C,8,16,27,6
cartpole,IZ-C,9,11,21,0
cartpole,IZ-D,0,11,17,0
cartpole,IZ-D,1,16,27,6
cartpole,IZ-D,10,12,22,2
cartpole,IZ-D,2,15,23,4
cartpole,IZ-D,3,20,31,10
cartpole,IZ-D,4,17,25,7
cartpole,IZ-D,5,11,19,0
cartpole,IZ-D,6,17,29,7
cartpole,IZ-D,7,21,34,10
cartpole,IZ-D,8,16,27,6
cartpole,IZ-D,9,17,27,6
cartpole,IZ-E,0,14,25,3
cartpole,IZ-E,1,11,23,0
cartpole,IZ-E,10,14,23,4
cartpole,IZ-E,2,10,18,0
cartpole,IZ-E,3,14,26,4
cartpole,IZ-E,4,12,21,1
cartpole,IZ-E,5,12,24,2
cartpole,IZ-E,6,13,21,3
cartpole,IZ-E,7,14,24,4
cartpole,IZ-E,8,13,22,2
cartpole,IZ-E,9,11,22,0
cartpole,IZ-F,0,13,21,3
cartpole,IZ-F,1,12,19,1
cartpole,IZ-F,10,11,20,0
cartpole,IZ-F,2,14,20,3
cartpole,IZ-F,3,12,20,1
cartpole,IZ-F,4,11,18,0
cartpole,IZ-F,5,16,27,5
cartpole,IZ-F,6,13,19,3
cartpole,IZ-F,7,13,25,3
cartpole,IZ-F,8,13,19,3
cartpole,IZ-F,9,15,26,5
cartpole,IZ-G,0,16,24,6
cartpole,IZ-G,1,13,24,3
cartpole,IZ-G,10,18,26,7
cartpole,IZ-G,2,11,21,0
cartpole,IZ-G,3,11,25,0
cartpole,IZ-G,4,14,23,3
cartpole,IZ-G,5,11,18,0
cartpole,IZ-G,6,12,20,2
cartpole,IZ-G,7,13,23,3
cartpole,IZ-G,8,18,28,7
cartpole,IZ-G,9,11,20,0
cartpole,IZ-H,0,16,26,6
cartpole,IZ-H,1,15,26,4
cartpole,IZ-H,10,14,24,4
cartpole,IZ-H,2,16,25,6
cartpole,IZ-H,3,19,32,9
cartpole,IZ-H,4,11,20,0
cartpole,IZ-H,5,11,19,0
cartpole,IZ-H,6,15,24,4
cartpole,IZ-H,7,11,23,0
cartpole,IZ-H,8,11,20,0
cartpole,IZ-H,9,19,27,8
mountain,IZ-A,0,11,31,3
mountain,IZ-A,1,10,15,2
mountain,IZ-A,10,7,12,0
mountain,IZ-A,2,10,16,2
mountain,IZ-A,3,12,18,4
mountain,IZ-A,4,9,17,1
mountain,IZ-A,5,8,13,1
mountain,IZ-A,6,8,13,0
mountain,IZ-A,7,10,18,2
mountain,IZ-A,8,7,14,0
mountain,IZ-A,9,12,17,4
mountain,IZ-B,0,8,13,1
mountain,IZ-B,1,9,15,1
mountain,IZ-B,10,8,12,1
mountain,IZ-B,2,8,13,0
mountain,IZ-B,3,8,13,0
mountain,IZ-B,4,8,14,0
mountain,IZ-B,5,8,13,1
mountain,IZ-B,6,8,13,1
mountain,IZ-B,7,9,15,1
mountain,IZ-B,8,7,13,0
mountain,IZ-B,9,9,14,2
mountain,IZ-C,0,10,17,2
mountain,IZ-C,1,9,16,2
mountain,IZ-C,10,14,19,6
mountain,IZ-C,2,12,17,4
mountain,IZ-C,3,9,16,2
mountain,IZ-C,4,11,17,3
mountain,IZ-C,5,14,19,6
mountain,IZ-C,6,10,15,2
mountain,IZ-C,7,9,15,2
mountain,IZ-C,8,9,14,1
mountain,IZ-C,9,10,15,2
mountain,IZ-D,0,11,16,4
mountain,IZ-D,1,16,22,8
mountain,IZ-D,10,13,21,5
mountain,IZ-D,2,11,17,3
mountain,IZ-D,3,10,16,3
mountain,IZ-D,4,10,15,3
mountain,IZ-D,5,10,16,2
mountain,IZ-D,6,12,19,5
mountain,IZ-D,7,9,14,2
mountain,IZ-D,8,8,17,0
mountain,IZ-D,9,8,13,0
mountain,IZ-E,0,13,18,6
mountain,IZ-E,1,19,24,12
mountain,IZ-E,10,9,13,2
mountain,IZ-E,2,11,16,4
mountain,IZ-E,3,11,16,4
mountain,IZ-E,4,10,15,2
mountain,IZ-E,5,14,19,6
mountain,IZ-E,6,13,18,6
mountain,IZ-E,7,11,16,4
mountain,IZ-E,8,12,19,5
mountain,IZ-E,9,9,14,1
mountain,IZ-F,0,8,13,0
mountain,IZ-F,1,8,13,0
mountain,IZ-F,10,10,15,2
mountain,IZ-F,2,10,15,2
mountain,IZ-F,3,8,12,0
mountain,IZ-F,4,9,14,1
mountain,IZ-F,5,8,14,1
mountain,IZ-F,6,8,13,0
mountain,IZ-F,7,8,13,1
mountain,IZ-F,8,8,14,1
mountain,IZ-F,9,8,13,1
mountain,IZ-G,0,7,13,0
mountain,IZ-G,1,7,13,0
mountain,IZ-G,10,8,13,0
mountain,IZ-G,2,9,15,1
mountain,IZ-G,3,10,17,2
mountain,IZ-G,4,8,15,0
mountain,IZ-G,5,7,15,0
mountain,IZ-G,6,8,14,0
mountain,IZ-G,7,10,15,2
mountain,IZ-G,8,15,20,7
mountain,IZ-G,9,8,13,0
mountain,IZ-H,0,13,19,6
mountain,IZ-H,1,11,17,4
mountain,IZ-H,10,14,21,6
mountain,IZ-H,2,13,20,5
mountain,IZ-H,3,9,14,2
mountain,IZ-H,4,12,18,4
mountain,IZ-H,5,14,20,6
mountain,IZ-H,6,13,19,5
mountain,IZ-H,7,13,19,5
mountain,IZ-H,8,13,16,6
mountain,IZ-H,9,16,20,8
